gene_callers_id	detection
37859	DETECTED
37860	DETECTED
37861	DETECTED
37862	DETECTED
37863	DETECTED
37864	DETECTED
37865	DETECTED
37866	DETECTED
37867	DETECTED
37868	DETECTED
37869	DETECTED
37870	DETECTED
37871	DETECTED
37872	DETECTED
37873	DETECTED
37874	DETECTED
37875	DETECTED
37876	DETECTED
37877	DETECTED
37878	DETECTED
37879	DETECTED
37880	DETECTED
37881	DETECTED
37882	DETECTED
37883	DETECTED
37884	DETECTED
37885	DETECTED
37886	DETECTED
37887	DETECTED
37888	DETECTED
37889	DETECTED
37890	DETECTED
37891	DETECTED
37892	DETECTED
37893	DETECTED
37894	DETECTED
37895	DETECTED
37896	DETECTED
37897	DETECTED
37898	DETECTED
37899	DETECTED
37900	DETECTED
37901	DETECTED
37902	DETECTED
37903	DETECTED
37904	DETECTED
37905	DETECTED
37906	DETECTED
37907	DETECTED
37908	DETECTED
37909	DETECTED
37910	DETECTED
37911	DETECTED
37912	DETECTED
37913	DETECTED
37914	DETECTED
37915	DETECTED
37916	DETECTED
37917	DETECTED
37918	DETECTED
37919	DETECTED
37920	DETECTED
37921	DETECTED
37922	DETECTED
37923	DETECTED
37924	DETECTED
37925	DETECTED
37926	DETECTED
37927	DETECTED
37928	DETECTED
37929	DETECTED
37930	DETECTED
37931	DETECTED
37932	DETECTED
37933	DETECTED
37934	DETECTED
37935	DETECTED
37936	DETECTED
37937	NOT DETECTED
37938	DETECTED
37939	DETECTED
37940	DETECTED
37941	DETECTED
37942	DETECTED
37943	DETECTED
37944	NOT DETECTED
37945	DETECTED
37946	DETECTED
37947	DETECTED
37948	DETECTED
37949	DETECTED
37950	DETECTED
37951	DETECTED
37952	DETECTED
37953	DETECTED
37954	NOT DETECTED
37955	DETECTED
37956	DETECTED
37957	DETECTED
37958	DETECTED
37959	DETECTED
37960	DETECTED
37961	DETECTED
37962	DETECTED
37963	DETECTED
37964	DETECTED
37965	DETECTED
37966	DETECTED
37967	DETECTED
37968	DETECTED
37969	DETECTED
37970	DETECTED
37971	DETECTED
37972	DETECTED
