sample	Akkermansia_muciniphila	Unknown_t_order_Enterobacterales	Unknown_t_family_Ruminococcaceae	Porphyromonas_gingivalis	Streptococcus_thermophilus	Unknown_t_family_Lachnospiraceae	Escherichia_coli	Clostridioides_difficile	Unknown_t_phylum_Proteobacteria	Unknown_t_genus_Pseudomonas	Klebsiella_pneumoniae	Ethanoligenens_harbinense	Streptococcus_parasanguinis	Bacteroides_thetaiotaomicron	Oxalobacter_formigenes	Odoribacter_splanchnicus	Unknown_t_family_Pasteurellaceae	Unknown_t_class_Gammaproteobacteria	Unknown_t_order_Bacteroidales	Unknown_t_class_Alphaproteobacteria	Lactococcus_lactis	Bacteroides_fragilis	Unknown_t_genus_Bacteroides	Unknown_t_class_Actinobacteria	Bacteroides_ovatus	Unknown_t_genus_Butyrivibrio	Unknown_t_order_Clostridiales	Campylobacter_coli	Clostridium_botulinum	Unknown_t_genus_Ruminococcus	Enterococcus_faecium	Unknown_t_genus_Klebsiella	Bifidobacterium_dentium	Unknown_t_genus_Lachnoclostridium	Enterobacter_cloacae	Eggerthella_lenta	Clostridium_perfringens	Faecalibacterium_prausnitzii	Megasphaera_elsdenii	Unknown_t_family_Enterobacteriaceae	Streptococcus_salivarius	Prevotella_intermedia	Unknown_t_genus_Clostridium	Citrobacter_freundii	Unknown_t_genus_Prevotella	Unknown_t_genus_Escherichia	Methanobrevibacter_smithii	Prevotella_melaninogenica	Unknown_t_genus_Bifidobacterium	Tannerella_forsythia	Unknown_t_order_Lactobacillales	Haemophilus_influenzae	Unknown_t_phylum_Bacteroidetes	Unknown_t_phylum_Firmicutes	Unknown_t_family_Flavobacteriaceae	Bifidobacterium_adolescentis	Unknown_t_genus_Citrobacter	Veillonella_parvula	Unknown_t_genus_Streptococcus	Unknown_t_genus_Bacillus	Bifidobacterium_bifidum	Unknown_t_genus_Parabacteroides	Bifidobacterium_breve	Unknown_t_genus_Paenibacillus	Unknown_t_domain_Bacteria	Bifidobacterium_longum	Unknown_t_genus_Haemophilus	Unknown_t_genus_Enterobacter	Unknown_t_genus_Campylobacter	crassphage
FIJ0058	0.01962243718424517	0.004048152517989298	0.0021871980165760743	0.0	0.0	0.0065393889937223745	0.07132691009386333	0.0022965152153740977	0.007958804496865457	0.001590650646572799	0.00364974257080744	0.002390459683091149	0.0	0.002124853051636577	0.0	0.03353134265006241	0.0	0.008004068649492765	0.08280564298796358	0.0018280739377122559	0.0	0.016114465355628917	0.1253355845843961	0.0028529226764437234	0.013433204842922715	0.0	0.036097734699969124	0.0	0.001149538668610463	0.0	0.0	0.016895058478296053	0.0	0.0030826596020426945	0.0	0.0	0.0	0.06530677779443157	0.031735295235435515	0.13790151118216729	0.0	0.002676990309628155	0.0029054461743037116	0.0	0.0040618171678390505	0.0039375542582678605	0.025713454854772527	0.0011918136790831362	0.01159360135689973	0.0	0.0013323033603509081	0.0	0.01492777592023944	0.016099519644855752	0.0	0.14365902599229913	0.0	0.0	0.00521904220199	0.0012831960249533587	0.0	0.010415025307358543	0.0	0.0	0.047891608581229296	0.0013485301320474898	0.0	0.003035687368184169	0.0	0.05935467286082613
CHI0041	0.004421083172419427	0.0	0.0	0.0	0.0	0.013097053972707311	0.006242191978388946	0.004346436021053313	0.002399976338261454	0.0	0.0	0.0	0.0	0.1394648221778095	0.0	0.04186578442184373	0.0	0.0	0.12108190482629044	0.0	0.0	0.11070454234958246	0.14416618427705644	0.0	0.21197819176430654	0.0010619613609443286	0.03665175132076163	0.0	0.0	0.0	0.0	0.0	0.0	0.002632368413269165	0.0	0.0	0.0	0.07204013481557224	0.0	0.010523839905803746	0.0	0.0019309668777913458	0.001933783751427803	0.0	0.001521111763686837	0.0	0.0	0.0010844963500359856	0.003567570460572924	0.0	0.001442239301866038	0.0	0.00787175337707938	0.014935064020495572	0.0	0.0	0.0	0.0	0.002056317754613687	0.0	0.0	0.020392756691131213	0.0	0.0	0.016733637837373434	0.002528144088720252	0.0	0.0	0.0013239306091348394	0.012104488683122534
USA0007	0.0019256909178980586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11851391525967872	0.0	0.02186691079746999	0.0	0.0	0.08741319365335279	0.0	0.0	0.012873623894671525	0.14314171749296337	0.0	0.5940763980062702	0.0	0.003921866299393776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010771087342247754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005335016346973673	0.0016162975768687295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053811600219966895	0.0	0.0	0.002857100998237658	0.0	0.0	0.0	0.0	0.6007970636675127
CHI0014	0.0	0.0	0.0	0.0035532607589785327	0.0	0.010479194221182216	0.012417336453352325	0.004507070912605555	0.0033014548784209992	0.0	0.001439617458541052	0.0	0.0	0.05010937023094923	0.0	0.02120256384169295	0.0011700071217824804	0.001958490182114152	0.11662427510428325	0.0	0.0	0.012862447858378269	0.08446942720520907	0.0	0.09544460270627735	0.0	0.03390985858174789	0.0	0.0	0.0	0.0022408179875877507	0.0027825821548478993	0.0	0.0026299725302675755	0.0	0.0	0.0	0.12630226879641876	0.0	0.026508291789602196	0.0020958388442364434	0.054367178756740256	0.0010657238783192593	0.0	0.13930969579814834	0.0	0.0	0.050180588055753386	0.009220164818394546	0.0	0.0	0.00278766914233391	0.01815037135008648	0.01855733034896734	0.002795299623562926	0.0	0.0	0.0034718689592023603	0.0035710652151795708	0.0	0.0	0.043119849425170415	0.0	0.0	0.02723064401261573	0.006887781056058602	0.002085664869264422	0.0	0.0	0.0002950710469543202
USA0100	0.0	0.0	0.0	0.0	0.0	0.0031516206235654045	0.002025983524395062	0.008746339026548384	0.0012088966960632904	0.0	0.0	0.0	0.0012415475183742502	0.02849518890133248	0.0	0.08877105569903777	0.0	0.0	0.161807680126424	0.0	0.0	0.028496005171890253	0.2458655896248747	0.0	0.21898335134570365	0.0	0.0469469848598137	0.002329636171886989	0.0	0.0013794972426380558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03181822634203042	0.0	0.0036985218972739827	0.0	0.0020521041822438297	0.0	0.0	0.0010987001707638006	0.0	0.0	0.0	0.0	0.0	0.00337527875639548	0.0	0.015309970581609099	0.021614844369855456	0.0	0.0	0.0	0.0	0.0029075557267909794	0.0	0.0	0.04355374815114719	0.007268073046419674	0.0	0.02785360024292212	0.0	0.0	0.0	0.0	0.02804258866738347
USA0035	0.0	0.0	0.0	0.0	0.0012180491441709993	0.002864779061038012	0.0	0.0042813035176430415	0.0	0.0	0.0	0.0	0.0	0.12161280671936606	0.0	0.004126430177054225	0.0	0.0	0.04105989054609959	0.0	0.0038316851644074946	0.07051928221656883	0.14266349336408207	0.0	0.5544325289704883	0.0	0.00945677123513162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01952030060321817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002363680161836705	0.002270216529118994	0.0	0.006936922624631488	0.0	0.009660750756882743	0.0	0.0	0.0	0.0	0.0	0.0	0.003181109208261581	0.0	0.0	0.0	0.0	0.13085674256245283
USA0038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27737058268094644	0.0	0.013451674889319325	0.0	0.0	0.02727504292170819	0.0	0.0	0.00441537593721695	0.052144623262449986	0.0	0.576864602884739	0.0	0.0016736195601400276	0.0	0.0	0.0	0.0	0.0019327273888595177	0.0	0.0	0.0	0.0	0.0	0.001363490498738321	0.0	0.0	0.0	0.0023727566625803506	0.0	0.0	0.004544583553617313	0.0	0.0	0.0018679311929041239	0.0	0.0	0.0	0.0	0.0032780564835058284	0.0	0.0	0.0	0.0014177438457080986	0.0	0.0	0.0	0.0	0.028382119020299985	0.0	0.0	0.00164506921726657	0.0	0.0	0.0	0.0	0.008177797003654766
USA0076	0.0	0.0	0.0	0.0	0.0	0.0038486526675653517	0.0010631349278041053	0.0027889920369109328	0.0014878677543532944	0.0	0.0	0.0	0.0	0.08215612564911452	0.0	0.013474482445534602	0.0	0.0	0.12240035715774698	0.0	0.0026636278147597406	0.02629000653167864	0.21388323350519522	0.0	0.2838130179598001	0.0	0.02544835804716706	0.001956029295273566	0.0	0.0	0.0	0.0034589523372755026	0.0	0.0010723997202032696	0.0	0.0	0.0	0.0319855376590649	0.0	0.0024398251733674277	0.0	0.0015732775592830904	0.0	0.0	0.0	0.0	0.0021320603508576882	0.0	0.0	0.0	0.0	0.0	0.015444698454169388	0.007439628296528946	0.0	0.0	0.0	0.0	0.0017817353882642875	0.0	0.0	0.13509949228937654	0.0	0.0	0.013678307878316217	0.0	0.0	0.001551563202097549	0.001068635898291109	0.0400695741097185
CHI0022	0.001128149377276802	0.0	0.0	0.0	0.0	0.0051400888787167896	0.0022171997482405446	0.0026940168983998016	0.0	0.0	0.003056397932520837	0.0	0.0	0.0855305067612672	0.0	0.047776124811657224	0.0	0.0	0.08565543285460891	0.0	0.0	0.01801224466441609	0.1268572027998703	0.0	0.49277717380938757	0.0	0.024135530506761267	0.0	0.0	0.0	0.0	0.013556865213327994	0.0	0.0011796456294940016	0.0	0.0	0.0	0.026611165150388128	0.0	0.005028513665579524	0.0014266369132764968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023764566763937365	0.0	0.0	0.0	0.009426675058648509	0.008995632354904541	0.0	0.0010852358337624687	0.0012530754706185272	0.0016316682878449772	0.0019406458011481758	0.0	0.0	0.015411683927447503	0.0	0.0	0.0133976082851748	0.0	0.0	0.0016984226888672731	0.0	0.019012106076343162
FIJ0154	0.0	0.004716424418058328	0.0012877327108916027	0.0013223128070393047	0.0	0.009642584636664675	0.03261729982070972	0.003357276291209514	0.007523426135787017	0.001719232171517277	0.005756082526151197	0.001904160511785423	0.0	0.0026100455179309074	0.0	0.020506748756807955	0.0	0.0077136166645993785	0.03910933700183049	0.0022710102274393065	0.0015237794541606998	0.007630173389112532	0.05179271487583115	0.0029347977252310664	0.01849358576803521	0.0	0.0379268480618232	0.0	0.0	0.0	0.0	0.029187856372322393	0.0	0.002109385865009829	0.004232303071990498	0.0	0.0	0.025741874617081814	0.19298700615300188	0.07378340080210788	0.0	0.02124646211788054	0.0019049122530060251	0.0015463316907787664	0.057803637675766496	0.002071798803979718	0.013828279752977835	0.020797672609181014	0.011342271536446293	0.0	0.0	0.0	0.006550672996327744	0.011016767587925533	0.001186247646110303	0.13984717100985156	0.0037902792342763927	0.0044127209649350305	0.006988186386718236	0.0012757048513619672	0.0	0.010625862153212378	0.001196772023198734	0.001384707328349289	0.046412502959981054	0.001894387875917594	0.0	0.029981695101278336	0.0	0.0009038791889293291
