sample	Unknown_t_phylum_Firmicutes	Bifidobacterium	Enterobacter	Oxalobacter	Megasphaera	Unknown_t_order_Enterobacterales	Eggerthella	Vibrio	Faecalibacterium	Staphylococcus	Fusobacterium	Lachnoclostridium	Haemophilus	Campylobacter	Bacillus	Prevotella	Escherichia	Porphyromonas	Methanobrevibacter	Tannerella	Enterococcus	Streptococcus	Klebsiella	Ruminococcus	Unknown_t_family_Ruminococcaceae	Unknown_t_family_Lachnospiraceae	Lactobacillus	Veillonella	Unknown_t_family_Enterobacteriaceae	Unknown_t_class_Gammaproteobacteria	Unknown_t_family_Pasteurellaceae	Unknown_t_order_Lactobacillales	Paenibacillus	Unknown_t_order_Clostridiales	Ethanoligenens	Pseudomonas	Bacteroides	Unknown_t_family_Flavobacteriaceae	Unknown_t_phylum_Proteobacteria	Unknown_t_phylum_Bacteroidetes	Unknown_t_order_Bacteroidales	Unknown_t_domain_Bacteria	Clostridioides	Clostridium	Streptomyces	Unknown_t_class_Alphaproteobacteria	Lactococcus	Butyrivibrio	Parabacteroides	Citrobacter	Odoribacter	Unknown_t_class_Actinobacteria	Akkermansia	crassphage
CHI0017	0.005849978603086814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001321635361458933	0.0019136612962449534	0.0	0.0	0.0	0.0	0.024682835804227626	0.0	0.0	0.0	0.0	0.0015479631836105303	0.0	0.0	0.0	0.003317191593350846	0.0	0.0	0.018493067668147425	0.0	0.0	0.0	0.0	0.0149814128276058	0.0	0.0	0.8526975149502928	0.0	0.0	0.002408604507318578	0.0164224658952263	0.0070816784352170856	0.0014026368978079257	0.0	0.0	0.0	0.0	0.0	0.04307107795474694	0.0	0.004808275021657488	0.0	0.0	0.008045540058671993
CHI0024	0.006488676324857223	0.004138518453228728	0.0	0.0	0.0	0.0	0.0	0.0	0.0561451315157571	0.0	0.0	0.0012183257946507342	0.0	0.0015626531659583792	0.0	0.0021046804633756766	0.0063692326194993085	0.0	0.0	0.0	0.0010692271003763711	0.0014901631930515065	0.0	0.0	0.0	0.00567398787934703	0.0	0.0	0.011892474305187728	0.0	0.0	0.0	0.0	0.02135982951676372	0.0	0.0	0.5959235922735574	0.0	0.0	0.006805819956324791	0.10177427446186492	0.011135448338126184	0.005852741562537841	0.0015338219267340548	0.0	0.0	0.0	0.0	0.13757525983124663	0.0	0.019886141317554683	0.0	0.0	0.17483954237892876
USA0133	0.002018883875140953	0.0029815091700254367	0.0	0.0	0.0014219381446175482	0.0	0.0	0.0	0.0354502593963953	0.0	0.0	0.0	0.0	0.0028267057154133	0.0	0.033618373801782356	0.0	0.0010795998290454743	0.0	0.0015544735113045423	0.0	0.002557074048367897	0.0	0.0	0.0	0.0032082144025163475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013477827289246633	0.0	0.0	0.4958373431541861	0.0	0.0018109589577676322	0.010134394617883636	0.09704996127230732	0.008189558842349181	0.0016644724998504281	0.0	0.0	0.0	0.0	0.0	0.13800821880247588	0.0	0.147110232669324	0.0	0.0	0.019000144831787386
USA0059	0.0016752641158965912	0.0017890574916506563	0.0	0.0	0.0	0.0	0.0	0.0	0.004210109658556109	0.0	0.0	0.0	0.0	0.0	0.0	0.0023607220582082546	0.0	0.0	0.0	0.0	0.0	0.0011060519927819684	0.0	0.0	0.0	0.0018979459805187702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010203881433188329	0.0	0.0	0.7712647692275244	0.0	0.0011043352823718855	0.009651591169830238	0.08817981119128421	0.005946684860527089	0.0	0.0018040173966528072	0.0	0.0	0.0	0.0	0.009680039513768753	0.0	0.08912571862723988	0.0	0.0	0.3990077946766111
USA0149	0.0038233352629777045	0.0011187030759512594	0.0	0.0013979981610429926	0.0	0.0	0.0	0.0	0.009113699366821165	0.0	0.0	0.0	0.0	0.002098329635200774	0.0	0.002577229976471197	0.0	0.0	0.0	0.0	0.0	0.001435685866755053	0.0	0.0	0.0	0.0033632153272472975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01740194915230579	0.0	0.0	0.7326030631856593	0.0010162991079053578	0.0	0.008339769006087643	0.0632420004989497	0.007635884482233102	0.0029737757015560074	0.0	0.0	0.0	0.0	0.0	0.05387045123984938	0.0	0.07467685647481129	0.0	0.013311754478175012	0.3809420635395479
USA0116	0.004476578280804129	0.015270127288467088	0.0	0.0	0.0	0.0	0.0	0.0	0.03992144666388791	0.0	0.0	0.0	0.0	0.0023251787489178876	0.0	0.006419250376735387	0.0	0.0013758055724774761	0.0	0.0015172015774792395	0.0	0.001078264772836577	0.0	0.0	0.0	0.004058161531309115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01662893969027542	0.0	0.0	0.6543518548206099	0.0	0.0022139215749142327	0.013537465131937543	0.09742793933758696	0.010247202539356825	0.0032960338580909935	0.0010638366090608869	0.0	0.0	0.0	0.0	0.04144987014652602	0.0	0.08334092147872647	0.0	0.0	0.10730150225896833
USA0004	0.0031320956886262815	0.010730574555307628	0.0	0.0	0.0	0.0	0.0	0.0	0.01895561280803791	0.0	0.0	0.0	0.0	0.0	0.0	0.003366661009984278	0.0016487943552854684	0.0	0.0	0.0	0.0	0.0010585242229892247	0.0	0.0	0.0	0.0020137906176676424	0.0	0.0	0.004355236381537149	0.0	0.0	0.0	0.0	0.010069303709147416	0.0	0.0	0.266366102821656	0.0	0.0014485898732295402	0.020121426998643797	0.17838114164940444	0.009398215480329472	0.0	0.0031117596816924047	0.0	0.0	0.0	0.0	0.32278537378281985	0.0	0.13345224053709498	0.0	0.009604555826546483	0.0004905787027372566
USA0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013653338459866375	0.0	0.0	0.0	0.0	0.0	0.0	0.002151507749985684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014663793315016496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005691240523607568	0.0	0.0	0.5954290393944458	0.0	0.0	0.005551293183541959	0.11378478377989877	0.002364642582089779	0.0	0.0	0.0	0.0	0.0018042688905535837	0.0	0.1282501966274736	0.0	0.1298533094770352	0.0	0.0	0.12582603474549836
FIJ0097	0.017401491492002995	0.01619916017157268	0.005393207429205229	0.0	0.0053285821207321	0.003836939826323241	0.0	0.0013789237331185168	0.10306534370143709	0.0011745274086453633	0.001108399186021696	0.005161007192947125	0.0013285761090754975	0.0019056951428820482	0.0020011301914412043	0.22296332588889858	0.038193557307619475	0.0020582409291616446	0.010452767916991046	0.0011925623784518182	0.003443927775957582	0.01675373549312116	0.05314154144886936	0.0	0.001277477027957209	0.015902334626841444	0.0021829828036562895	0.006996816827829161	0.06555486087523708	0.0063731074553559355	0.0	0.0	0.0017779474400863274	0.05679587720590224	0.0014871335519572452	0.0022400935413767293	0.11566727885369732	0.0013646460486884068	0.0066083135199151155	0.010833005197077132	0.053832881958116786	0.048199208264825495	0.0031245585189682793	0.013562297294453947	0.001164007009591598	0.0015337238906239197	0.0	0.0011617526383657913	0.010729304120690017	0.0	0.040659087971576885	0.0023843732998283674	0.0	0.00014399314808515138
USA0021	0.005836845257391524	0.0019730877642184846	0.0	0.0	0.0	0.0	0.0011379183402106606	0.0013884691674130078	0.07619272633366117	0.0	0.0	0.0024884752114022603	0.0	0.003514305023653976	0.0	0.0	0.0	0.0	0.0	0.0	0.002493420293518096	0.0014818762740454617	0.0	0.0	0.0	0.005497832405672558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021838032077099324	0.0	0.0	0.622518255594811	0.0	0.0011901164292111494	0.006231352919521536	0.039787031796878	0.010013791284567497	0.004126396298880763	0.0014571508634662828	0.0	0.0	0.0	0.0	0.13440678245484866	0.0	0.056426134209528626	0.0	0.0	0.9982265366522306
USA0111	0.0014853373106539986	0.0018966451549337405	0.0	0.0	0.0	0.0	0.0	0.0	0.011013792084203231	0.0	0.0	0.0	0.0	0.0	0.0	0.007111145274695033	0.0	0.0	0.0	0.0011090660148028355	0.0	0.0012577059172271098	0.0	0.0	0.0	0.0011925167028781782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005468886695624551	0.0	0.0	0.7452235629069548	0.00144817733504793	0.001529292253228034	0.012267038804357613	0.10864026765374887	0.006348197889823008	0.0	0.0	0.0	0.0	0.0	0.0	0.033292577687706715	0.0	0.06071579031411434	0.0	0.0	0.07248053883095644
USA0056	0.0	0.0020708546011307554	0.0	0.0	0.0	0.0	0.0	0.0	0.00683663577866206	0.0	0.0	0.0	0.0	0.0	0.0	0.0037452053667095813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012147280986163672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003956993798574814	0.0	0.0	0.6489991178833905	0.0	0.0	0.008118350284143034	0.19771370597577537	0.003581220167456735	0.0011338184201170854	0.0	0.0	0.0	0.0	0.0	0.021066683498355044	0.0	0.10156268612706873	0.0	0.0	0.5910168021832755
USA0143	0.0010674035531327301	0.0	0.0	0.0	0.0	0.0	0.0	0.0011995137409793878	0.006887032695283994	0.0	0.0	0.0	0.0	0.0	0.0	0.0011740269967753423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002640566993543904	0.0	0.0	0.8755980324233474	0.0	0.0	0.005427741222096399	0.03940320800947826	0.001978145467580043	0.0	0.0	0.0	0.0	0.0	0.0	0.014300635555224046	0.0	0.019200637495957778	0.0	0.031123055846600665	0.9998952349366647
FIJ0141	0.008062323173169461	0.039785877039768616	0.008425673273884568	0.0011113611584922484	0.007219052587521556	0.003943147749871922	0.0	0.0	0.01592112766822577	0.0	0.0	0.0018521265251114345	0.0	0.0	0.0	0.0	0.06760357715510297	0.0	0.0	0.0	0.001142475008758762	0.0016618205779333755	0.391739357997666	0.0	0.0	0.0038892312833141963	0.0013438626012372231	0.0	0.06075938253072386	0.001225800457075247	0.0	0.0	0.0	0.02717347292796675	0.0	0.0	0.1426763963512404	0.0	0.0027876731187415345	0.0018606508676502053	0.03488374075428497	0.05208714264890535	0.0011618678880344656	0.0016959179480884588	0.0	0.0	0.0	0.0	0.02339932026892596	0.0	0.08358757184955218	0.0013734846915594518	0.011626563897193019	0.0466848064118725
USA0048	0.02970398894735295	0.16021533215601236	0.0	0.0	0.0	0.0014635486504148134	0.0017682426336413815	0.0	0.07174554038806369	0.0	0.0	0.0012854807381395465	0.0	0.0022374374501127198	0.001022053286964072	0.0	0.010716861844173052	0.0	0.0	0.0	0.018874068111259093	0.004888670810655584	0.0	0.0032283995142985706	0.001270783069189842	0.005147010607194622	0.0	0.0	0.02344843492437484	0.0	0.0	0.0	0.0	0.09196557579813995	0.0	0.0	0.42414137348585745	0.0	0.0	0.004300764052667401	0.03672890941035213	0.032878685440489136	0.006286645245756331	0.0022351762702743035	0.0	0.0	0.0	0.0	0.027593177568191532	0.004818574235664685	0.02904768149925268	0.0013821461762318341	0.0	0.9976141717483316
USA0009	0.0023723028790836576	0.005091509267279457	0.0	0.0	0.0	0.0	0.0	0.0	0.006314290269895239	0.0	0.0	0.0	0.0	0.0	0.0	0.0597078038206789	0.0	0.0019252067415633498	0.0	0.0011403644856993877	0.0	0.002586962892097926	0.0	0.0	0.0	0.00221581923095155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010858510771246223	0.0	0.0	0.7008595557911339	0.0	0.0018301314785846338	0.013399417374479106	0.09277998991609675	0.009481400800679156	0.0014654518579807199	0.0045059749281414156	0.0	0.0	0.0	0.0	0.0356712690635329	0.0	0.04779403843087571	0.0	0.0	0.015302112767895499
CHI0003	0.01716040032534484	0.01226062865470469	0.0	0.0	0.0	0.0	0.0	0.0	0.1016884613177026	0.0010821495718299527	0.0	0.0021712988174751057	0.002738272396506323	0.003569833645752108	0.0015287287612397262	0.025596407207424135	0.01784636835923446	0.0	0.0	0.0	0.0011409468318776346	0.014462726036966677	0.03468478368908009	0.0	0.0010667502894365123	0.015297087155738543	0.0	0.010058531272442705	0.014324132495425712	0.001062550485147392	0.0	0.0	0.0	0.054689851452922295	0.0	0.0	0.4188156831891634	0.0014475325449834037	0.002354690271433351	0.01622524390363409	0.10228063372246854	0.029939004842374346	0.007863433563995917	0.0052539551656892785	0.0	0.0	0.0	0.0	0.032278295831414255	0.0	0.051111618198591946	0.0	0.0	0.0023102497209082267
CHI0032	0.019680553356687173	0.005057273398251361	0.0	0.0054742531713876065	0.0	0.0	0.0	0.0	0.07242960957760172	0.0	0.0	0.002269975449479667	0.0	0.007753147974303343	0.0	0.036393191857522246	0.001326753823615326	0.0021183464410664873	0.0	0.0	0.0016991368295712244	0.005057273398251361	0.0	0.0	0.0	0.012355534347315162	0.0	0.0	0.0	0.0011416772398168858	0.0	0.004464136394752744	0.0	0.05082024604036453	0.0	0.0	0.5028842959173889	0.0	0.0017615723036237103	0.009668579124699251	0.06418589716431455	0.025645370967058597	0.005846636177343504	0.0026378987787175306	0.0	0.0	0.0	0.0	0.054354539839407044	0.0	0.10497410042746001	0.0	0.0	0.0019344930938479626
USA0050	0.0	0.0036688862734632543	0.0	0.0	0.0	0.0	0.0	0.0	0.0011137465152047115	0.0	0.0	0.0	0.0	0.0	0.0	0.0016937527253509715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010332017804382074	0.0	0.0	0.8756517577942015	0.0	0.0	0.008705140341839846	0.07308950991052489	0.0012619025612699906	0.0	0.0	0.0	0.0	0.0	0.0	0.015253132858960596	0.0	0.018528969238746053	0.0	0.0	0.039840028789776404
FIJ0113	0.0030854500402905955	0.015772058838951296	0.004893598011016258	0.0	0.0	0.017271053566567152	0.0	0.0	0.05850966324109213	0.0	0.0	0.0	0.0	0.0	0.0	0.05279263535731529	0.015425152825312477	0.0	0.0	0.0	0.0	0.006800112922731405	0.6871738317929503	0.0	0.0	0.0025665591831307197	0.0	0.0	0.044856583516888704	0.0059943010095510315	0.0	0.0	0.0	0.012665635037255693	0.0	0.0	0.025417262496271915	0.0	0.0024954581319677456	0.0025059450126702493	0.009699315961745537	0.014579910240690691	0.0	0.0012838039356004851	0.0	0.0	0.0	0.0	0.003437389756666615	0.0	0.010306296616806442	0.0	0.0	0.0001115530800642772
USA0150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015990033933640365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9297408342131912	0.0	0.0	0.001678443820292779	0.020605059335709882	0.0021607134121060193	0.0	0.0	0.0	0.0	0.0	0.0	0.04026676360164095	0.0	0.003949182223695107	0.0	0.0	1.0
CHI0068	0.010232124165454624	0.0047109588271346	0.0	0.0	0.0	0.0	0.0	0.0	0.044332670793492734	0.0	0.0	0.0021575015322050552	0.0	0.0014622920742201435	0.0	0.0026619204246527547	0.007666905808265936	0.0	0.0	0.0	0.0013407610975423301	0.0031950885804005818	0.0	0.0	0.0	0.007009593106449374	0.0	0.0	0.00449141899829726	0.0	0.0	0.0011499705320051174	0.0	0.021176445989935143	0.0	0.0	0.6651442624964553	0.0017301829367895175	0.0011839469340870867	0.0064006314383648465	0.06818802540912162	0.013095289433208274	0.00463647209949336	0.002475050213201923	0.0	0.0	0.0	0.0	0.06304713441718056	0.0	0.0625113526920418	0.0	0.0	0.00974491346378748
FIJ0155	0.005981802135255077	0.0015018141531065938	0.0	0.0	0.0	0.006018523348223507	0.0	0.0	0.05973623319639381	0.0	0.0	0.0018761201534779788	0.0	0.004142403194745528	0.0	0.09995222069448995	0.13926686932881552	0.0013294748240615748	0.0	0.0	0.0	0.0053533686496817145	0.0030783225916830624	0.0	0.0	0.009626382522371774	0.0	0.0	0.44321210464711125	0.005047080350604126	0.0	0.0	0.0019524835849918734	0.03448497455595499	0.0	0.0	0.06089336869141036	0.0	0.0037342969869827475	0.005902100411653143	0.030118905791310845	0.02221424741334524	0.001130429158312243	0.0021728108628024543	0.0	0.0	0.0	0.0	0.033536065029929875	0.0	0.017737597723284797	0.0	0.0	0.001290064786674925
FIJ0091	0.007749732765764418	0.41269759656171834	0.008945048856593063	0.0	0.025095391029338943	0.0	0.0	0.0	0.08452386415538965	0.0	0.0	0.0015465828495807024	0.008323965018443907	0.0	0.0010912815446319016	0.08855958764838438	0.01989294292587911	0.0	0.0	0.0	0.0028786094641644238	0.1322070052010065	0.004447056386964303	0.0	0.0	0.010199470024475748	0.0	0.011156443690761277	0.03208060202605477	0.0015444204687128716	0.004248117347123877	0.0011145872050962993	0.0	0.03616533948538699	0.0	0.0	0.030503505579783565	0.0	0.0018855961167483846	0.0027428599985728284	0.014666228103791399	0.022987069683203996	0.00697199644696797	0.004379782315520681	0.0	0.0	0.0	0.0	0.005869422468915174	0.0	0.008174039944940977	0.0011282822839258938	0.0	0.0005195923114120075
USA0142	0.0	0.0038038409343957077	0.0	0.0	0.0	0.0	0.0	0.0	0.0036040415111540914	0.0	0.0	0.0	0.0	0.0	0.0	0.002152003757443743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002330183547045841	0.0	0.0	0.747022958229046	0.0	0.0011058806982461498	0.009580534167705441	0.061069999393921506	0.004010199122898751	0.0	0.0	0.0	0.0	0.0	0.0	0.026281336778385515	0.0	0.13903902185975733	0.0	0.0	0.27623722655334815
USA0112	0.0	0.001493664368034596	0.0	0.0	0.0	0.0	0.0	0.0	0.004697207914695019	0.0	0.0	0.0	0.0	0.0	0.0	0.0028977716424132085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020729272716818116	0.0	0.0	0.8906854233668692	0.0	0.0	0.004282600043063624	0.04406634936480034	0.0029067385604263233	0.0	0.0	0.0	0.0	0.0	0.0	0.02136637224164992	0.0	0.025530945226365922	0.0	0.0	0.03342545639024603
USA0071	0.0021152993946123803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021164619025232467	0.0	0.0	0.0	0.0	0.0012738761687273283	0.0	0.0025258971887303695	0.0	0.0	0.0	0.0	0.0	0.001454994901240303	0.0	0.0	0.0	0.0011255401593007841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041224855535141915	0.0	0.0	0.5464433535470209	0.0	0.0	0.012564850503807679	0.3274768509799709	0.003666782452454589	0.0	0.0	0.0	0.0	0.0	0.0	0.0854313113600738	0.0	0.009682295888023518	0.0	0.0	0.00013900392212410433
USA0012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004150560943872809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020578876581413405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.943281795020393	0.0	0.0	0.003816372890993188	0.04217316545110603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004520218035493641	0.0	0.0	0.22658950523027124
