contig	PR_origin	Ribisomal_P
PR_node_821_split_00001	PR	
PR_node_822_split_00001	PR	
PR_node_825_split_00001	PR	
PR_node_828_split_00001	PR	
PR_node_830_split_00001	PR	
PR_node_831_split_00001	PR	
PR_node_832_split_00001	PR	
PR_node_833_split_00001	PR	
PR_node_837_split_00001	PR	
PR_node_840_split_00001	PR	
PR_node_842_split_00001	PR	
PR_node_843_split_00001	PR	
PR_node_849_split_00001	PR	
PR_node_858_split_00001	PR	
PR_node_866_split_00001	PR	
PR_node_868_split_00001	PR	
PR_node_869_split_00001	PR	
PR_node_875_split_00001	PR	
PR_node_876_split_00001	PR	
PR_node_880_split_00001	PR	
PR_node_887_split_00001	PR	
PR_node_895_split_00001	PR	
PR_node_896_split_00001	PR	
PR_node_897_split_00001	PR	
PR_node_898_split_00001	PR	
PR_node_900_split_00001	PR	
PR_node_901_split_00001	PR	
PR_node_903_split_00001	PR	
PR_node_911_split_00001	PR	
PR_node_914_split_00001	PR	
PR_node_915_split_00001	PR	
PR_node_916_split_00001	PR	
PR_node_919_split_00001	PR	
PR_node_921_split_00001	PR	
PR_node_924_split_00001	PR	
PR_node_925_split_00001	PR	
PR_node_928_split_00001	PR	
PR_node_929_split_00001	PR	
PR_node_930_split_00001	PR	
PR_node_931_split_00001	PR	
PR_node_935_split_00001	PR	
PR_node_936_split_00001	PR	
PR_node_937_split_00001	PR	
PR_node_943_split_00001	PR	
PR_node_944_split_00001	PR	
PR_node_945_split_00001	PR	
PR_node_949_split_00001	PR	
PR_node_952_split_00001	PR	
PR_node_953_split_00001	PR	
PR_node_955_split_00001	PR	
PR_node_958_split_00001	PR	
PR_node_959_split_00001	PR	
PR_node_961_split_00001	PR	
PR_node_964_split_00001	PR	
PR_node_965_split_00001	PR	
PR_node_967_split_00001	PR	
PR_node_969_split_00001	PR	
PR_node_971_split_00001	PR	
PR_node_974_split_00001	PR	
PR_node_976_split_00001	PR	
PR_node_977_split_00001	PR	
PR_node_978_split_00001	PR	
PR_node_979_split_00001	PR	
PR_node_984_split_00001	PR	
PR_node_993_split_00001	PR	
PR_node_995_split_00001	PR	
PR_node_996_split_00001	PR	
PR_node_997_split_00001	PR	
PR_node_998_split_00001	PR	
PR_node_1000_split_00001	PR	
PR_node_1001_split_00001	PR	
PR_node_1003_split_00001	PR	
PR_node_1004_split_00001	PR	
PR_node_1010_split_00001	PR	
PR_node_1012_split_00001	PR	
PR_node_1013_split_00001	PR	
PR_node_1014_split_00001	PR	
PR_node_1016_split_00001	PR	
PR_node_1020_split_00001	PR	
PR_node_1021_split_00001	PR	
PR_node_1022_split_00001	PR	
PR_node_1023_split_00001	PR	
PR_node_1026_split_00001	PR	
PR_node_1027_split_00001	PR	
PR_node_1028_split_00001	PR	
PR_node_1029_split_00001	PR	
PR_node_1031_split_00001	PR	
PR_node_1032_split_00001	PR	
PR_node_1033_split_00001	PR	
PR_node_1034_split_00001	PR	
PR_node_1036_split_00001	PR	
PR_node_1039_split_00001	PR	
PR_node_1042_split_00001	PR	
PR_node_1043_split_00001	PR	
PR_node_1045_split_00001	PR	
PR_node_1048_split_00001	PR	
PR_node_1050_split_00001	PR	
PR_node_1051_split_00001	PR	
PR_node_1054_split_00001	PR	
PR_node_1056_split_00001	PR	
PR_node_1057_split_00001	PR	
PR_node_1058_split_00001	PR	
PR_node_1065_split_00001	PR	
PR_node_1070_split_00001	PR	
PR_node_1071_split_00001	PR	
PR_node_1075_split_00001	PR	
PR_node_1079_split_00001	PR	
PR_node_1081_split_00001	PR	
PR_node_1083_split_00001	PR	
PR_node_1084_split_00001	PR	
PR_node_1088_split_00001	PR	
PR_node_1093_split_00001	PR	
PR_node_1101_split_00001	PR	
PR_node_1104_split_00001	PR	
PR_node_1106_split_00001	PR	
PR_node_1108_split_00001	PR	
PR_node_1110_split_00001	PR	
PR_node_1113_split_00001	PR	
PR_node_1115_split_00001	PR	
PR_node_1118_split_00001	PR	
PR_node_1121_split_00001	PR	
PR_node_1122_split_00001	PR	
PR_node_1125_split_00001	PR	
PR_node_1133_split_00001	PR	
PR_node_1135_split_00001	PR	
PR_node_1136_split_00001	PR	
PR_node_1137_split_00001	PR	
PR_node_1139_split_00001	PR	
PR_node_1146_split_00001	PR	
PR_node_1147_split_00001	PR	
PR_node_1149_split_00001	PR	
PR_node_1155_split_00001	PR	
PR_node_1158_split_00001	PR	
PR_node_1162_split_00001	PR	
PR_node_1163_split_00001	PR	
PR_node_1165_split_00001	PR	
PR_node_1166_split_00001	PR	
PR_node_1167_split_00001	PR	
PR_node_1171_split_00001	PR	
PR_node_1174_split_00001	PR	
PR_node_1177_split_00001	PR	
PR_node_1179_split_00001	PR	
PR_node_1182_split_00001	PR	
PR_node_1183_split_00001	PR	
PR_node_1184_split_00001	PR	
PR_node_1186_split_00001	PR	
PR_node_1189_split_00001	PR	
PR_node_1191_split_00001	PR	
PR_node_1193_split_00001	PR	
PR_node_1194_split_00001	PR	
PR_node_1196_split_00001	PR	YES
PR_node_1199_split_00001	PR	
PR_node_1200_split_00001	PR	
PR_node_1201_split_00001	PR	
PR_node_1202_split_00001	PR	
PR_node_1204_split_00001	PR	
PR_node_1207_split_00001	PR	
PR_node_1211_split_00001	PR	
PR_node_1214_split_00001	PR	
PR_node_1215_split_00001	PR	
PR_node_1216_split_00001	PR	
PR_node_1220_split_00001	PR	
PR_node_1222_split_00001	PR	
PR_node_1226_split_00001	PR	
PR_node_1228_split_00001	PR	
PR_node_1229_split_00001	PR	
PR_node_1230_split_00001	PR	
PR_node_1231_split_00001	PR	
PR_node_1232_split_00001	PR	
PR_node_1235_split_00001	PR	
PR_node_1242_split_00001	PR	
PR_node_1244_split_00001	PR	
PR_node_1253_split_00001	PR	
PR_node_1255_split_00001	PR	
PR_node_1259_split_00001	PR	
PR_node_1263_split_00001	PR	
PR_node_1272_split_00001	PR	
PR_node_1277_split_00001	PR	
PR_node_1278_split_00001	PR	
PR_node_1279_split_00001	PR	
PR_node_1282_split_00001	PR	
PR_node_1284_split_00001	PR	
PR_node_1285_split_00001	PR	YES
PR_node_1290_split_00001	PR	YES
PR_node_1291_split_00001	PR	
PR_node_1292_split_00001	PR	
PR_node_1293_split_00001	PR	
PR_node_1294_split_00001	PR	
PR_node_1296_split_00001	PR	
PR_node_1298_split_00001	PR	
PR_node_1299_split_00001	PR	
PR_node_1303_split_00001	PR	
PR_node_1305_split_00001	PR	
PR_node_1312_split_00001	PR	
PR_node_1314_split_00001	PR	
PR_node_1316_split_00001	PR	
PR_node_1321_split_00001	PR	
PR_node_1323_split_00001	PR	
PR_node_1324_split_00001	PR	
PR_node_1325_split_00001	PR	
PR_node_1333_split_00001	PR	
PR_node_1334_split_00001	PR	
PR_node_1335_split_00001	PR	
PR_node_1337_split_00001	PR	
PR_node_1338_split_00001	PR	
PR_node_1339_split_00001	PR	
PR_node_1342_split_00001	PR	
PR_node_1343_split_00001	PR	
PR_node_1345_split_00001	PR	
PR_node_1347_split_00001	PR	
PR_node_1348_split_00001	PR	
PR_node_1349_split_00001	PR	
PR_node_1351_split_00001	PR	
PR_node_1352_split_00001	PR	
PR_node_1357_split_00001	PR	
PR_node_1361_split_00001	PR	
PR_node_1363_split_00001	PR	
PR_node_1367_split_00001	PR	
PR_node_1371_split_00001	PR	
PR_node_1373_split_00001	PR	
PR_node_1375_split_00001	PR	
PR_node_1377_split_00001	PR	
PR_node_1378_split_00001	PR	
PR_node_1382_split_00001	PR	
PR_node_1392_split_00001	PR	
PR_node_1393_split_00001	PR	
PR_node_1394_split_00001	PR	
PR_node_1395_split_00001	PR	
PR_node_1396_split_00001	PR	
PR_node_1401_split_00001	PR	
PR_node_1413_split_00001	PR	
PR_node_1414_split_00001	PR	
PR_node_1415_split_00001	PR	
PR_node_1419_split_00001	PR	
PR_node_1420_split_00001	PR	
PR_node_1422_split_00001	PR	
PR_node_1423_split_00001	PR	
PR_node_1430_split_00001	PR	
PR_node_1432_split_00001	PR	
PR_node_1434_split_00001	PR	
PR_node_1438_split_00001	PR	
PR_node_1442_split_00001	PR	
PR_node_1443_split_00001	PR	
PR_node_1445_split_00001	PR	
PR_node_1446_split_00001	PR	
PR_node_1453_split_00001	PR	
PR_node_1456_split_00001	PR	
PR_node_1457_split_00001	PR	
PR_node_1464_split_00001	PR	
PR_node_1466_split_00001	PR	
PR_node_1467_split_00001	PR	
PR_node_1468_split_00001	PR	
PR_node_1471_split_00001	PR	
PR_node_1472_split_00001	PR	
PR_node_1473_split_00001	PR	
PR_node_1474_split_00001	PR	
PR_node_1477_split_00001	PR	
PR_node_1481_split_00001	PR	
PR_node_1482_split_00001	PR	
