bins	AST_count_detec	AST_frac_detec	AUS_count_detec	AUS_frac_detec	BAN_count_detec	BAN_frac_detec	CAN_count_detec	CAN_frac_detec	CHI_count_detec	CHI_frac_detec	DEN_count_detec	DEN_frac_detec	ENG_count_detec	ENG_frac_detec	ETH_count_detec	ETH_frac_detec	FIJ_count_detec	FIJ_frac_detec	ISR_count_detec	ISR_frac_detec	ITA_count_detec	ITA_frac_detec	MAD_count_detec	MAD_frac_detec	MON_count_detec	MON_frac_detec	PER_count_detec	PER_frac_detec	SPA_count_detec	SPA_frac_detec	TAN_count_detec	TAN_frac_detec	USA_count_detec	USA_frac_detec
DB_MAG_00011	45.0	0.29411764705882354	7.0	0.5833333333333334	1.0	0.03571428571428571	11.0	0.4782608695652174	27.0	0.14361702127659576	140.0	0.49295774647887325	101.0	0.4786729857819905	5.0	1.0	18.0	0.10465116279069768	168.0	0.5060240963855421	0.0	0.0	17.0	0.15178571428571427	73.0	0.6636363636363637	10.0	0.2777777777777778	28.0	0.17721518987341772	13.0	0.48148148148148145	25.0	0.20491803278688525
DB_MAG_00012	47.0	0.30718954248366015	3.0	0.25	0.0	0.0	5.0	0.21739130434782608	9.0	0.047872340425531915	130.0	0.45774647887323944	109.0	0.5165876777251185	2.0	0.4	6.0	0.03488372093023256	96.0	0.2891566265060241	1.0	0.09090909090909091	24.0	0.21428571428571427	43.0	0.39090909090909093	27.0	0.75	29.0	0.18354430379746836	15.0	0.5555555555555556	23.0	0.1885245901639344
DB_MAG_00013	57.0	0.37254901960784315	0.0	0.0	0.0	0.0	4.0	0.17391304347826086	0.0	0.0	70.0	0.24647887323943662	52.0	0.24644549763033174	3.0	0.6	0.0	0.0	111.0	0.33433734939759036	0.0	0.0	48.0	0.42857142857142855	92.0	0.8363636363636363	5.0	0.1388888888888889	49.0	0.310126582278481	1.0	0.037037037037037035	6.0	0.04918032786885246
DB_MAG_00014	48.0	0.3137254901960784	5.0	0.4166666666666667	0.0	0.0	9.0	0.391304347826087	22.0	0.11702127659574468	131.0	0.4612676056338028	75.0	0.35545023696682465	0.0	0.0	1.0	0.005813953488372093	110.0	0.3313253012048193	1.0	0.09090909090909091	10.0	0.08928571428571429	32.0	0.2909090909090909	2.0	0.05555555555555555	24.0	0.1518987341772152	2.0	0.07407407407407407	29.0	0.23770491803278687
DB_MAG_00015	31.0	0.20261437908496732	6.0	0.5	0.0	0.0	7.0	0.30434782608695654	2.0	0.010638297872340425	121.0	0.426056338028169	86.0	0.4075829383886256	5.0	1.0	0.0	0.0	81.0	0.24397590361445784	1.0	0.09090909090909091	4.0	0.03571428571428571	1.0	0.00909090909090909	0.0	0.0	34.0	0.21518987341772153	6.0	0.2222222222222222	23.0	0.1885245901639344
DB_MAG_00016	81.0	0.5294117647058824	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826086	2.0	0.010638297872340425	64.0	0.22535211267605634	163.0	0.7725118483412322	0.0	0.0	0.0	0.0	156.0	0.46987951807228917	1.0	0.09090909090909091	42.0	0.375	11.0	0.1	20.0	0.5555555555555556	63.0	0.3987341772151899	1.0	0.037037037037037035	29.0	0.23770491803278687
DB_MAG_00017	7.0	0.0457516339869281	1.0	0.08333333333333333	0.0	0.0	4.0	0.17391304347826086	7.0	0.03723404255319149	68.0	0.23943661971830985	18.0	0.08530805687203792	2.0	0.4	4.0	0.023255813953488372	56.0	0.1686746987951807	0.0	0.0	17.0	0.15178571428571427	15.0	0.13636363636363635	4.0	0.1111111111111111	15.0	0.0949367088607595	0.0	0.0	3.0	0.02459016393442623
DB_MAG_00018	54.0	0.35294117647058826	7.0	0.5833333333333334	2.0	0.07142857142857142	15.0	0.6521739130434783	50.0	0.26595744680851063	206.0	0.7253521126760564	138.0	0.6540284360189573	5.0	1.0	32.0	0.18604651162790697	206.0	0.6204819277108434	1.0	0.09090909090909091	36.0	0.32142857142857145	98.0	0.8909090909090909	34.0	0.9444444444444444	56.0	0.35443037974683544	16.0	0.5925925925925926	59.0	0.48360655737704916
DB_MAG_00019	88.0	0.5751633986928104	4.0	0.3333333333333333	0.0	0.0	20.0	0.8695652173913043	69.0	0.3670212765957447	192.0	0.676056338028169	129.0	0.6113744075829384	5.0	1.0	5.0	0.029069767441860465	224.0	0.6746987951807228	2.0	0.18181818181818182	11.0	0.09821428571428571	102.0	0.9272727272727272	15.0	0.4166666666666667	69.0	0.43670886075949367	5.0	0.18518518518518517	54.0	0.4426229508196721
DB_MAG_00020	68.0	0.4444444444444444	7.0	0.5833333333333334	0.0	0.0	19.0	0.8260869565217391	61.0	0.324468085106383	196.0	0.6901408450704225	171.0	0.8104265402843602	0.0	0.0	0.0	0.0	261.0	0.786144578313253	3.0	0.2727272727272727	3.0	0.026785714285714284	40.0	0.36363636363636365	0.0	0.0	94.0	0.5949367088607594	0.0	0.0	60.0	0.4918032786885246
