MAGs	DB_D_01	DB_D_02	DB_D_03	DB_D_04	DB_D_05	DB_D_06	DB_D_07	DB_D_08	DB_D_09	DB_D_10	DB_D_11	DB_D_12	DB_D_13	DB_D_14	DB_D_15	DB_R01_CDI_C_01_PRE	DB_R01_CDI_C_02_PRE	DB_R01_CDI_C_03_POST	DB_R01_CDI_C_04_POST	DB_R01_CDI_C_05_POST	DB_R01_CDI_C_06_POST	DB_R01_CDI_C_07_POST	DB_R02_CDI_C_01_PRE	DB_R02_CDI_C_02_PRE	DB_R02_CDI_C_03_POST	DB_R02_CDI_C_04_POST	DB_R02_CDI_C_05_POST	DB_R02_CDI_C_06_POST	DB_R03_CDI_P_01_PRE	DB_R03_CDI_P_02_PRE	DB_R03_CDI_P_03_POST	DB_R03_CDI_P_04_POST	DB_R03_CDI_P_05_POST	DB_R03_CDI_P_06_POST	DB_R03_CDI_P_07_POST	DB_R03_CDI_P_08_POST	DB_R04_CDI_P_01_PRE	DB_R04_CDI_P_02_PRE	DB_R04_CDI_P_03_POST	DB_R04_CDI_P_04_POST	DB_R04_CDI_P_05_POST	DB_R04_CDI_P_06_POST	DB_R04_CDI_P_07_POST	DB_R04_CDI_P_08_POST	DB_R04_CDI_P_09_POST	DB_R05_UC_P_01_PRE	DB_R05_UC_P_02_POST	DB_R05_UC_P_03_POST	DB_R05_UC_P_04_POST	DB_R05_UC_P_05_POST	DB_R05_UC_P_06_POST
DB_MAG_00110	41.09912401	40.7606532	58.10522023	219.0260445	86.48637196	10.60823909	33.02216372	77.96461804	40.03744792	15.17387691	73.33799111	58.23559097	25.19848411	77.47042754	48.28867113	0.413025389	0.661321149	10.07663695	2.811775311	8.783370645	1.914720799	2.705318373	0	2.678389943	3.297627617	0.00297747	0.096138286	1.290065999	0.384728564	0.426401245	40.7695229	39.67917574	15.14269906	25.86825776	18.79629611	2.117297217	2.707741414	0.26987031	25.49850652	7.822871462	13.45495548	7.416139864	0.527553786	27.84073567	1.310729313	0.015357386	72.05104319	86.45605467	26.50357799	14.19584551	74.10955437
DB_MAG_00111	2.722905449	1.740811481	1.817073753	1.469425492	2.699922662	0.411282437	1.059462278	2.644572032	2.505773999	1.269634819	2.398193992	9.310218512	2.412985568	0.51775777	0.956851904	0	0	0.156183121	1.774183665	0.353953589	0	0.109484816	0	0.014574275	0	0	0.000700769	0	0.010089492	0.022577375	3.39190942	0.353940454	1.205297306	1.771649584	1.266176245	2.21202496	0.007851932	0.006081946	3.344441392	4.864634373	14.04649226	2.95526111	0.198598173	0.846201868	0.066003537	0	0.433360458	1.305745742	0.114903593	1.818668771	1.079827196
DB_MAG_00112	5.324218993	3.479904493	12.31249007	12.53598786	7.369366484	8.542270482	5.500875052	5.685947839	6.806342359	17.90424098	12.91914123	58.03493162	9.605395951	0.354470001	0.281307038	0.009094946	0.119890515	7.588128115	15.53033117	16.94942056	1.295361044	1.494108273	0	0.283873415	0.026545129	0	0.015468084	0.000109716	0.759879561	0.065065443	3.335632381	3.380083708	6.936591127	1.191295214	1.027158266	2.950362006	0.105628451	0.086263673	16.27766674	28.3782866	42.66669583	34.88522331	17.82157415	3.591784497	15.74463289	0.008198319	6.209822849	19.41445107	1.21113943	21.9999102	20.81301322
DB_MAG_00113	9.262065094	7.89539381	1.48627545	5.733396481	5.599270074	3.23100401	3.470076751	2.859636861	4.485341434	3.148403003	4.93439335	8.771404735	7.066945005	8.029942525	4.517976055	1.175070426	0.151133148	14.28900944	9.505155842	3.619557815	4.136479755	1.004092867	0	0.077883994	4.283922658	1.30999287	0.513492418	0.090951809	0.040569255	0.043843232	2.41622226	3.248995446	13.19782791	0.811712802	10.90495421	0.487547365	0.284166354	0.03051388	107.1246682	3.187208354	31.42571686	6.062911187	2.009998311	6.155460993	4.120674908	0	0.810437297	6.106913382	0.637593502	3.600311273	1.901523718
DB_MAG_00114	0.280450885	0.131656837	0.05612715	0.340331545	0.563311019	0.004034203	0.066407786	0.096926705	0.022513973	0.012937615	0.199486259	3.976569215	0.268939418	1.582575547	0.394031842	0	0.029922064	8.023490333	0.29787476	9.281560898	0.039018202	4.680593585	0	0.019029337	0.948347362	0.072147577	0.146323356	0.141339923	0.002841572	0.0131744	0.14400955	2.89701112	4.343359723	3.775893571	2.792290374	1.475235709	0.029253819	0.014752793	0.985075314	0.0569936	0.049488642	0.78720316	0.034173817	0.05565002	0.029912481	0	1.80622192	1.554462905	0.06331148	0.098789533	8.511091898
DB_MAG_00115	0.103238561	0.508874953	0.078075962	0.412602428	0.077511427	0.007220327	0.106231671	0.521304612	0.262454112	1.270779895	1.05464602	7.142638142	0.785300675	0.698409656	1.748635211	0.679575212	27.04527281	12.65081669	4.972910467	3.637298443	1.902781295	10.79119276	0	0.057550269	25.81661655	2.019826779	16.2741117	34.77415901	0.106933159	0.004888661	0.113130866	4.681814812	3.295685409	2.114021582	1.614409607	0.122424809	2.762046254	0.011612887	1.009776456	0.152272947	0.190238809	0.121679864	0.137432	0.989585991	0.036469349	0.003967646	1.389181356	9.374475628	0.762934544	1.223030315	3.940327215
DB_MAG_00116	21.42597648	14.19263681	8.941083117	3.40158701	17.39823489	24.34677499	17.695883	9.536751704	7.031969731	30.68034441	4.515009557	3.865024283	22.68668442	16.9333251	8.41121458	0	0.7023326	29.83805665	51.17763887	11.811215	22.86897467	43.27416543	0.002353965	0.077042112	138.0421663	0.882778919	96.75963589	6.211535066	0.123575243	0.449934379	11.19499134	5.117875953	4.707336045	4.800837704	3.40515177	2.042377311	14.67829124	2.483451234	33.11135245	35.20916816	22.14854848	41.95651294	165.0392084	147.9011145	69.50184187	0.056943259	9.663830691	2.274896159	62.41866601	29.06700913	9.901592189
DB_MAG_00117	0	0	0.002560656	0	0	0	32.28202578	39.63970321	23.64610137	24.17954917	11.45258239	8.615535881	11.81482528	8.736229761	5.043946562	0	0.081071018	0	0.0020522	0.00434659	0	0	0	0.014993267	0	0	0	0	0	0.033185039	7.367270661	1.195365284	0.737214356	22.44534153	13.08078458	1.426236751	0.333143521	0.144193702	7.591825913	48.20746379	5.601005244	35.51327767	46.11594932	124.7057064	30.0039164	0.020604752	52.81165106	28.68676602	3.929323756	169.4365697	12.3326225
DB_MAG_00118	0	0	0	0	0	0	0.468858892	3.03438212	1.122379482	6.204067244	0.948469469	0.84727285	7.269604144	0	0	0	0	0	0	0	0	0.001629276	0	0	0	0	0	0	0.014060106	0	0.012204245	0.016694911	0	0	0	0	0.00038481	0.00183878	155.9888852	0	0	0	0	0	0	0	0	15.72976231	0	0	0
DB_MAG_00119	21.63173377	14.80978705	17.81249177	15.72927879	12.39265277	17.46811931	11.76329585	13.56945175	6.607534639	12.93146824	5.770563493	1.686330944	15.01836493	6.266317478	5.940747386	0	0.043616075	0.375702078	0.416998359	0.415123382	0.022021626	0.01971954	0	0.012479706	1.362224981	0.063563153	1.491139866	0.599834871	0.018237584	0.073366022	7.071686539	4.416421941	6.066287807	8.947431612	0.967787166	0.230067992	0.559539513	0.135487703	10.89244977	5.153427656	3.27582493	4.561733214	10.91225719	15.56409682	10.08008622	0.022644258	45.94052375	15.53025503	2.288532852	10.20201649	2.180400381
