bins	mean_donor_detection	mean_post_detection	AST_count_detec	AST_frac_detec	AUS_count_detec	AUS_frac_detec	BAN_count_detec	BAN_frac_detec	CAN_count_detec	CAN_frac_detec	CHI_count_detec	CHI_frac_detec	DEN_count_detec	DEN_frac_detec	ENG_count_detec	ENG_frac_detec	ETH_count_detec	ETH_frac_detec	FIJ_count_detec	FIJ_frac_detec	ISR_count_detec	ISR_frac_detec	ITA_count_detec	ITA_frac_detec	MAD_count_detec	MAD_frac_detec	MON_count_detec	MON_frac_detec	PER_count_detec	PER_frac_detec	SPA_count_detec	SPA_frac_detec	TAN_count_detec	TAN_frac_detec	USA_count_detec	USA_frac_detec
DB_MAG_00036	0.8518	0.14874074074074073	13.0	0.08496732026143791	1.0	0.08333333333333333	0.0	0.0	5.0	0.21739130434782608	6.0	0.031914893617021274	31.0	0.10915492957746477	32.0	0.15165876777251186	1.0	0.2	10.0	0.05813953488372092	53.0	0.15963855421686746	3.0	0.2727272727272727	14.0	0.125	4.0	0.03636363636363636	2.0	0.05555555555555555	8.0	0.05063291139240506	4.0	0.14814814814814814	11.0	0.09016393442622953
DB_MAG_00037	0.7245333333333334	0.5027407407407407	68.0	0.4444444444444444	1.0	0.08333333333333333	0.0	0.0	11.0	0.4782608695652174	7.0	0.03723404255319149	61.0	0.2147887323943662	58.0	0.2748815165876777	0.0	0.0	0.0	0.0	37.0	0.11144578313253012	3.0	0.2727272727272727	0.0	0.0	8.0	0.07272727272727272	0.0	0.0	46.0	0.2911392405063291	0.0	0.0	53.0	0.4344262295081967
DB_MAG_00038	0.9014	0.7291851851851852	44.0	0.2875816993464052	0.0	0.0	1.0	0.03571428571428571	8.0	0.3478260869565217	15.0	0.0797872340425532	137.0	0.4823943661971831	110.0	0.5213270142180095	4.0	0.8	11.0	0.06395348837209303	121.0	0.3644578313253012	1.0	0.09090909090909093	33.0	0.29464285714285715	83.0	0.7545454545454545	26.0	0.7222222222222222	26.0	0.16455696202531644	14.0	0.5185185185185185	19.0	0.1557377049180328
DB_MAG_00039	0.9004	0.42533333333333334	69.0	0.4509803921568628	3.0	0.25	0.0	0.0	13.0	0.5652173913043478	49.0	0.26063829787234044	162.0	0.5704225352112676	127.0	0.6018957345971564	2.0	0.4	13.0	0.0755813953488372	205.0	0.6174698795180723	1.0	0.09090909090909093	18.0	0.16071428571428573	55.0	0.5	26.0	0.7222222222222222	60.0	0.37974683544303794	8.0	0.2962962962962963	43.0	0.3524590163934426
DB_MAG_00040	0.8059999999999999	0.4915185185185185	38.0	0.24836601307189546	0.0	0.0	0.0	0.0	12.0	0.5217391304347826	2.0	0.010638297872340424	30.0	0.1056338028169014	69.0	0.32701421800947866	0.0	0.0	0.0	0.0	59.0	0.17771084337349394	1.0	0.09090909090909093	3.0	0.026785714285714284	15.0	0.13636363636363635	0.0	0.0	35.0	0.2215189873417721	0.0	0.0	22.0	0.18032786885245905
DB_MAG_00041	0.7772000000000001	0.2957037037037037	10.0	0.06535947712418301	1.0	0.08333333333333333	0.0	0.0	6.0	0.2608695652173913	33.0	0.17553191489361702	18.0	0.06338028169014084	7.0	0.03317535545023697	0.0	0.0	0.0	0.0	39.0	0.11746987951807228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.08860759493670886	0.0	0.0	6.0	0.049180327868852465
DB_MAG_00042	0.28686666666666666	0.3844814814814815	51.0	0.3333333333333333	3.0	0.25	1.0	0.03571428571428571	17.0	0.7391304347826086	5.0	0.026595744680851064	78.0	0.2746478873239437	87.0	0.41232227488151657	0.0	0.0	0.0	0.0	12.0	0.03614457831325301	3.0	0.2727272727272727	13.0	0.11607142857142858	9.0	0.08181818181818183	0.0	0.0	62.0	0.3924050632911392	0.0	0.0	54.0	0.4426229508196721
DB_MAG_00043	0.6755333333333334	0.35507407407407404	69.0	0.4509803921568628	10.0	0.8333333333333334	0.0	0.0	15.0	0.6521739130434783	55.0	0.2925531914893617	198.0	0.6971830985915493	139.0	0.6587677725118484	4.0	0.8	0.0	0.0	200.0	0.6024096385542169	2.0	0.18181818181818185	16.0	0.14285714285714285	21.0	0.19090909090909086	3.0	0.08333333333333333	71.0	0.4493670886075949	3.0	0.1111111111111111	66.0	0.5409836065573771
DB_MAG_00044	0.9896666666666668	0.3085555555555555	15.0	0.09803921568627452	1.0	0.08333333333333333	0.0	0.0	0.0	0.0	9.0	0.04787234042553192	18.0	0.06338028169014084	16.0	0.07582938388625593	5.0	1.0	0.0	0.0	63.0	0.1897590361445783	0.0	0.0	4.0	0.03571428571428571	0.0	0.0	4.0	0.1111111111111111	15.0	0.0949367088607595	19.0	0.7037037037037037	2.0	0.016393442622950817
DB_MAG_00045	0.6486	0.4836666666666666	34.0	0.2222222222222222	1.0	0.08333333333333333	0.0	0.0	6.0	0.2608695652173913	13.0	0.06914893617021277	58.0	0.20422535211267606	58.0	0.2748815165876777	0.0	0.0	0.0	0.0	41.0	0.12349397590361445	0.0	0.0	0.0	0.0	12.0	0.10909090909090907	0.0	0.0	50.0	0.3164556962025317	0.0	0.0	16.0	0.13114754098360654
DB_MAG_00046	0.37833333333333335	0.08044444444444444	3.0	0.0196078431372549	3.0	0.25	0.0	0.0	4.0	0.17391304347826084	0.0	0.0	16.0	0.056338028169014086	17.0	0.08056872037914692	0.0	0.0	0.0	0.0	10.0	0.030120481927710843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.03164556962025317	0.0	0.0	9.0	0.07377049180327869
DB_MAG_00047	0.8223333333333334	0.6953333333333334	111.0	0.7254901960784313	1.0	0.08333333333333333	0.0	0.0	14.0	0.6086956521739131	9.0	0.04787234042553192	56.0	0.19718309859154928	105.0	0.4976303317535545	0.0	0.0	0.0	0.0	100.0	0.3012048192771085	0.0	0.0	2.0	0.017857142857142856	15.0	0.13636363636363635	0.0	0.0	66.0	0.4177215189873418	0.0	0.0	17.0	0.13934426229508196
