MAGs	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00036	2.051567635	0.988709338	0.74319582	1.026240971	0.608733007	0.890269283	1.288013869	0.710304355	0.55899946	3.157950554	1.907619221	0.806370547	5.322449286	1.978219699	3.384524931	1.152424552	0.774030664	1.799764787	0.85848554	1.492326536	0.000192326	0.864086921	0.655587426	1.098527638	0	1.664024809	0.549847797	2.2562547	1.897684269	0	0	0	0.070412645	0	0.13396745	0.356792339	0.202374424	0.019324039	0	0	0.122348383	0	0	0	0	0	0.011652773	1.252127797	0.011979269	0.005617692	0.003186124	0.18185724	0.266378175	0.080367394	0.626387515	0.016753153	0	0
DA_MAG_00037	0.656496378	0	0	0	0.003077964	0.007369598	0	0.005655504	0.356722686	3.301472731	0.131154058	2.63239513	12.31123191	0.058396651	1.391331904	2.610640823	2.159934627	1.032787981	0.032891399	0.008299807	2.310468439	0.021963298	0.00358532	0.015464925	0.000218238	4.925643494	9.09605157	0.154581179	10.14744058	0	0.006261585	0.000194307	0.004557705	0.039983224	0.005857663	0.009721879	0.351476449	0.016438523	0.002478197	0.031966147	0.011802994	0	0.001488246	0.002079516	0	0	0.001594732	0.085601043	0.110960656	0.571398528	0.019548193	0	0.002029427	0.020167428	0.004908676	0.005707188	0	1.77E-05
DA_MAG_00038	13.06116058	0.28224507	2.487958787	11.22357166	0.148812013	10.52658547	2.509238274	0.957655086	1.079479359	4.855681905	3.617614064	5.580357215	13.21582649	1.623699837	7.746755312	5.662815478	1.86198039	13.84481474	8.279572301	6.34312389	2.684129914	3.351144801	6.061773846	3.240022978	0	17.05326543	18.74851618	5.045506796	24.93431543	0.005174848	0	0	6.195413011	0.435440633	1.104112737	3.620704836	4.569244292	0.144305451	0.015345118	0	0.411552871	0.021605127	0.229957893	0.21497061	0.049623945	0	0.223800984	3.93537942	0.357081863	9.210435608	0.035396772	0.501104818	1.502179953	0.025659374	0.570387615	1.299109959	0.933869914	1.397109469
DA_MAG_00039	0.017577946	0.035774681	0.047103229	0.031037517	0.041982272	0.018047703	0.050361655	0.056597052	0.036130505	0.030392102	0.031162265	0.01938025	3.70969019	36.21535184	46.97501942	44.11113892	43.51106023	111.3389798	89.49138992	15.32697174	1.235107748	0.038575968	0.004034528	0.019826462	0.037665637	3.474292855	26.57618856	0.00533926	0.012846599	0.031746142	0	0.037779171	0.003596672	0.012912769	0	0.942759204	0.036250997	0.077168157	0.021152533	0.020677078	1.101459797	3.799511285	5.820015102	8.038079086	2.73968819	0.009030873	1.972498585	52.72414533	15.88203223	54.01701207	2.348980092	77.28553183	0.079321888	0.000767222	0	0.02264513	0.017824469	0.034437989
DA_MAG_00040	0.796015104	0.158546719	0.120187101	0.731542	0.058500924	6.473331216	1.064072501	0.058794092	0.145281996	0.166608342	2.019012736	1.914411295	8.508678464	0.164246284	0.489681889	0.938715088	0.406621008	0.731407243	0.027090856	0.140154199	1.430502679	0.08480223	0.261320447	3.120446712	0.001086937	0.596157388	6.586669318	1.694055693	4.224272596	0.003169555	0	0	51.65921163	0.237829757	1.173013722	44.96854264	52.34510027	0.01238995	0.003366115	7.76E-05	0.099297314	0	5.951787255	0.15124139	0.053116069	0	0.644136625	12.80479561	0.051185136	4.864720141	1.887780005	1.445936897	15.42093281	0.013903244	0.264705814	10.81944025	1.421353674	5.852945703
DA_MAG_00041	134.8909968	175.2252705	81.49024485	80.19395686	284.3051644	120.1651416	100.0022179	293.7871603	103.3204065	170.3950735	50.25031301	80.50058198	59.53327693	47.99779278	58.10168951	105.9226001	124.9577012	22.10075345	47.58492978	74.47158854	111.1810777	59.15536	58.07183212	239.1435965	0.149646581	17.43125568	0.181833203	0.954059671	0.009725636	1.205540027	0	0.170594185	108.6844144	41.74031115	246.2000894	981.95	505.3367451	0.363816173	0.173860853	0.051368522	8.870623375	0.052215904	7.479714645	82.8003285	2.133635464	0.021574865	1.378774193	4.023887555	31.06148397	80.3619564	38.28560348	419.2064171	91.87615319	0.170821567	7.462757042	21.18155467	17.42478192	54.2870343
DA_MAG_00042	0.033131561	0.013349042	0	0	0	0	0	0	0	0	0.011362786	0.002968414	20.57992232	1.369670353	0.006892231	0.021559622	0	0	0	0	107.4876937	0.001035923	0.000169779	0	0.057519993	0.002891832	0.071272743	0.2217968	0.004153741	0.018529444	0	0	0	0.005901851	0	0	0.014968765	0.020942456	0.041248778	0.024881966	0.009549098	0.028981876	0	0.021451291	0.004840869	0	0.008746339	0	0.001185959	0.003202075	0.420150771	0.006133389	0	0.008279002	0	0.001265664	19.13786341	71.35263946
DA_MAG_00043	6.745905478	0.958251039	4.475136031	3.589254196	0.960648122	3.13663736	3.785543629	0.316891835	6.050671432	1.707686828	8.759561337	3.832860703	9.185383759	3.25587654	5.694099696	2.922583726	7.309081652	17.72301603	2.683905308	11.27654737	0.075746611	15.32956699	7.997053732	97.99584207	0.00456821	14.42689701	5.825330559	0.874449149	14.54444114	0.003350888	0.000875887	0.004766367	0.504468828	0	0.500386063	4.745669022	1.082611405	0.010214089	0.001538354	0	0.03604649	0	0	0	0	0.012586877	0.922525602	14.60850712	0.421559648	17.83871802	0.099496583	0.75023693	0	0	0	0	0	0
DA_MAG_00044	0.730900438	14.28106748	6.334221714	9.171719871	7.166639228	4.815646663	0.188991329	1.27137763	0.226864664	3.39382542	0.068797742	12.74258678	0.4151651	2.596961223	1.965896845	3.734033612	0.390918873	0.689543682	1.452830339	0.070253735	0.024354593	0.844473469	5.346479699	1.102988855	0.007067964	0.624197559	24.78403939	10.64459575	75.16324667	0	0.03509963	0	2.036054445	0.013526338	0.273707833	25.35578181	88.89721276	0.030337491	0.012998102	0.012647026	0.551053257	0.002093858	0.063452385	0.044208007	0.005111672	0	0.014009873	1.347333374	0.027235879	0.355414844	0.027443354	0.021355051	0	0.024668435	0.347529693	0.071269686	0.042749923	2.82967772
DA_MAG_00045	0.312046109	0.120311329	0.085826478	0.186227422	0.100964005	0.935429428	0.165329136	0.110465913	0.151726324	0.596018081	0.975455143	0.235145515	0.478249051	0.375146987	1.196514131	0.615086333	0.390287468	1.654215465	0.070409169	0.730962462	0.047585099	0.355169444	0.168149433	0.570785277	0	3.841701029	0.685111073	0.723134407	2.568304128	0.007216528	0.034073408	0	4.430094015	0.003842069	0.268255153	1.841135119	0.261697278	0.092567281	0.001037775	0	1.040118811	0.320509181	3.156202655	0.751610592	0.834703347	0	0.011554399	0.974307118	0.402528457	0.215414712	0.577693562	0.737331121	1.002764804	0.89045189	0.095706522	0.092751833	0.031346509	0.038287308
