MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DA_MAG_00043	R05	no_colonization	DA_D_08	0.559861416954
DA_MAG_00044	R01	colonization	DA_D_09	0.353706242268
DA_MAG_00044	R02	colonization	DA_D_10	3.58551773714
DA_MAG_00044	R03	no_colonization	DA_D_15	2.02798944678
DA_MAG_00044	R04	ambiguous	DA_D_14	2.70323124082
DA_MAG_00044	R05	ambiguous	DA_D_08	1.3556940902599999
DA_MAG_00047	R01	ambiguous	DA_D_09	0.00765525620401
DA_MAG_00047	R02	ambiguous	DA_D_10	0.00756897770171
DA_MAG_00047	R03	ambiguous	DA_D_15	0.0120358510708
DA_MAG_00047	R04	ambiguous	DA_D_14	0.269067745096
DA_MAG_00047	R05	ambiguous	DA_D_08	0.00845999932546
DA_MAG_00049	R01	colonization	DA_D_09	8.04620858457
DA_MAG_00049	R02	colonization	DA_D_10	13.7568297683
DA_MAG_00049	R03	colonization	DA_D_15	7.950692424
DA_MAG_00049	R04	ambiguous	DA_D_14	6.50717000681
DA_MAG_00049	R05	ambiguous	DA_D_08	4.6726867496699995
DA_MAG_00050	R01	ambiguous	DA_D_09	0.00446607517323
DA_MAG_00050	R02	ambiguous	DA_D_10	0.00855625520264
DA_MAG_00050	R03	ambiguous	DA_D_15	0.00993511748173
DA_MAG_00050	R04	ambiguous	DA_D_14	0.059072385919000006
DA_MAG_00050	R05	ambiguous	DA_D_08	0.005064142909760001
DA_MAG_00051	R01	ambiguous	DA_D_09	0.185796391438
DA_MAG_00051	R02	ambiguous	DA_D_10	0.169240139549
DA_MAG_00051	R03	ambiguous	DA_D_15	0.312425440201
DA_MAG_00051	R04	ambiguous	DA_D_14	0.180625586537
DA_MAG_00051	R05	ambiguous	DA_D_08	0.0854362510405
DA_MAG_00052	R01	colonization	DA_D_09	5.9231886312
DA_MAG_00052	R02	colonization	DA_D_10	9.38547107163
DA_MAG_00052	R03	colonization	DA_D_15	18.4581464576
DA_MAG_00052	R04	colonization	DA_D_14	25.786764493099998
DA_MAG_00052	R05	colonization	DA_D_08	32.7617056574
DA_MAG_00053	R01	colonization	DA_D_09	10.391982544
DA_MAG_00053	R02	ambiguous	DA_D_10	1.8442048581200001
DA_MAG_00053	R03	ambiguous	DA_D_15	10.4819027085
DA_MAG_00053	R04	ambiguous	DA_D_14	5.7578078912
DA_MAG_00053	R05	no_colonization	DA_D_08	4.04351230801
DA_MAG_00054	R01	ambiguous	DA_D_09	0.14296783455499998
DA_MAG_00054	R02	ambiguous	DA_D_10	0.0662470002607
DA_MAG_00054	R03	ambiguous	DA_D_15	0.36847613637500004
DA_MAG_00054	R04	ambiguous	DA_D_14	0.134160544386
DA_MAG_00054	R05	ambiguous	DA_D_08	0.13692121569399998
DA_MAG_00056	R01	ambiguous	DA_D_09	1.83683787525
DA_MAG_00056	R02	no_colonization	DA_D_10	0.993219477519
DA_MAG_00056	R03	no_colonization	DA_D_15	3.80548444976
DA_MAG_00056	R04	no_colonization	DA_D_14	0.973238651496
DA_MAG_00056	R05	no_colonization	DA_D_08	1.7014123203600002
DA_MAG_00057	R01	colonization	DA_D_09	10.968198058099999
DA_MAG_00057	R02	colonization	DA_D_10	4.14058376119
DA_MAG_00057	R03	ambiguous	DA_D_15	8.561623450639999
DA_MAG_00057	R04	ambiguous	DA_D_14	8.69041739916
DA_MAG_00057	R05	colonization	DA_D_08	5.19256752824
DA_MAG_00058	R01	ambiguous	DA_D_09	0.006300684733250001
DA_MAG_00058	R02	ambiguous	DA_D_10	0.00195977014221
DA_MAG_00058	R03	ambiguous	DA_D_15	0.00241341185068
DA_MAG_00058	R04	ambiguous	DA_D_14	0.0806827402617
DA_MAG_00058	R05	ambiguous	DA_D_08	0.008887771129219998
DA_MAG_00062	R01	ambiguous	DA_D_09	2.2502102956599996
DA_MAG_00062	R02	ambiguous	DA_D_10	2.50910811978
DA_MAG_00062	R03	colonization	DA_D_15	8.41119926553
DA_MAG_00062	R04	ambiguous	DA_D_14	0.863550559884
DA_MAG_00062	R05	ambiguous	DA_D_08	5.4304015771700005
DA_MAG_00063	R01	ambiguous	DA_D_09	308.361192204
DA_MAG_00063	R02	colonization	DA_D_10	333.608587076
DA_MAG_00063	R03	no_colonization	DA_D_15	168.153161171
DA_MAG_00063	R04	ambiguous	DA_D_14	421.53823349699996
DA_MAG_00063	R05	ambiguous	DA_D_08	116.47089083600001
DA_MAG_00067	R01	ambiguous	DA_D_09	0.17222174042100002
DA_MAG_00067	R02	no_colonization	DA_D_10	1.84836864711
DA_MAG_00067	R03	no_colonization	DA_D_15	0.5297389843370001
DA_MAG_00067	R04	no_colonization	DA_D_14	4.4569366718
DA_MAG_00067	R05	ambiguous	DA_D_08	0.0197179507367
DA_MAG_00068	R01	colonization	DA_D_09	2.3194477078999998
DA_MAG_00068	R02	ambiguous	DA_D_10	2.00279979577
DA_MAG_00068	R03	ambiguous	DA_D_15	5.78295204623
DA_MAG_00068	R04	ambiguous	DA_D_14	3.10885627087
DA_MAG_00068	R05	no_colonization	DA_D_08	1.52871790042
DA_MAG_00069	R01	ambiguous	DA_D_09	0.00117291369302
DA_MAG_00069	R02	ambiguous	DA_D_10	0.00043369857178199994
DA_MAG_00069	R03	ambiguous	DA_D_15	0.00106882603579
DA_MAG_00069	R04	ambiguous	DA_D_14	0.009807852257209999
DA_MAG_00069	R05	ambiguous	DA_D_08	0.00014552996519799998
DA_MAG_00070	R01	colonization	DA_D_09	4.87312937571
DA_MAG_00070	R02	ambiguous	DA_D_10	10.513566699
DA_MAG_00070	R03	colonization	DA_D_15	15.2667228393
DA_MAG_00070	R04	ambiguous	DA_D_14	1.85751878815
DA_MAG_00070	R05	colonization	DA_D_08	7.092880160760001
DA_MAG_00071	R01	ambiguous	DA_D_09	0.00481571322321
DA_MAG_00071	R02	ambiguous	DA_D_10	0.0953488783165
DA_MAG_00071	R03	ambiguous	DA_D_15	0.053328406691300005
DA_MAG_00071	R04	ambiguous	DA_D_14	0.0357090897224
DA_MAG_00071	R05	ambiguous	DA_D_08	0.015200412804600001
DA_MAG_00072	R01	colonization	DA_D_09	4.98217144612
DA_MAG_00072	R02	colonization	DA_D_10	17.3461559019
DA_MAG_00072	R03	colonization	DA_D_15	13.2796066096
DA_MAG_00072	R04	ambiguous	DA_D_14	6.3397899961399995
DA_MAG_00072	R05	ambiguous	DA_D_08	4.798073870480001
DA_MAG_00074	R01	colonization	DA_D_09	1.6392206363600001
DA_MAG_00074	R02	colonization	DA_D_10	14.779314717
DA_MAG_00074	R03	colonization	DA_D_15	6.24902226768
DA_MAG_00074	R04	ambiguous	DA_D_14	13.104953397400001
DA_MAG_00074	R05	ambiguous	DA_D_08	0.969544809856
DA_MAG_00075	R01	colonization	DA_D_09	3.9952546566199993
DA_MAG_00075	R02	colonization	DA_D_10	7.0464122789
DA_MAG_00075	R03	colonization	DA_D_15	5.2464919210300005
DA_MAG_00075	R04	ambiguous	DA_D_14	17.6318385993
DA_MAG_00075	R05	ambiguous	DA_D_08	3.68069775352
DA_MAG_00076	R01	ambiguous	DA_D_09	0.00355411217991
DA_MAG_00076	R02	ambiguous	DA_D_10	0.00391312948009
DA_MAG_00076	R03	ambiguous	DA_D_15	0.00611708206435
DA_MAG_00076	R04	ambiguous	DA_D_14	0.180823809476
DA_MAG_00076	R05	ambiguous	DA_D_08	0.0026886524548099997
DA_MAG_00078	R01	ambiguous	DA_D_09	0.0018998732427700001
DA_MAG_00078	R02	ambiguous	DA_D_10	0.000894132884188
DA_MAG_00078	R03	ambiguous	DA_D_15	0.00250798545114
DA_MAG_00078	R04	ambiguous	DA_D_14	0.116809316296
DA_MAG_00078	R05	ambiguous	DA_D_08	0.000765975251997
DA_MAG_00079	R01	ambiguous	DA_D_09	0.0117845989101
DA_MAG_00079	R02	ambiguous	DA_D_10	0.0208974094197
DA_MAG_00079	R03	ambiguous	DA_D_15	0.0195886006919
DA_MAG_00079	R04	ambiguous	DA_D_14	0.0435137790087
DA_MAG_00079	R05	ambiguous	DA_D_08	0.0168171764459
DA_MAG_00080	R01	colonization	DA_D_09	19.7306077529
DA_MAG_00080	R02	ambiguous	DA_D_10	7.18978589287
DA_MAG_00080	R03	colonization	DA_D_15	13.867997697
DA_MAG_00080	R04	ambiguous	DA_D_14	8.48033108013
DA_MAG_00080	R05	ambiguous	DA_D_08	19.1333567637
DA_MAG_00082	R01	ambiguous	DA_D_09	13.4187539307
DA_MAG_00082	R02	ambiguous	DA_D_10	9.72039985722
DA_MAG_00082	R03	ambiguous	DA_D_15	15.7185803671
DA_MAG_00082	R04	ambiguous	DA_D_14	16.5665462361
DA_MAG_00082	R05	ambiguous	DA_D_08	10.33968751
DA_MAG_00084	R01	colonization	DA_D_09	27.9627666048
DA_MAG_00084	R02	colonization	DA_D_10	49.8509522429
DA_MAG_00084	R03	no_colonization	DA_D_15	43.3228102929
DA_MAG_00084	R04	no_colonization	DA_D_14	4.45503837453
DA_MAG_00084	R05	colonization	DA_D_08	32.9999209549
DA_MAG_00086	R01	colonization	DA_D_09	6.76314222411
DA_MAG_00086	R02	colonization	DA_D_10	8.72506956893
DA_MAG_00086	R03	ambiguous	DA_D_15	5.28462907939
DA_MAG_00086	R04	colonization	DA_D_14	8.11920025812
DA_MAG_00086	R05	ambiguous	DA_D_08	3.71126384385
DA_MAG_00087	R01	ambiguous	DA_D_09	0.00247697787139
DA_MAG_00087	R02	ambiguous	DA_D_10	0.0007181328545780001
DA_MAG_00087	R03	ambiguous	DA_D_15	0.000135997445902
DA_MAG_00087	R04	ambiguous	DA_D_14	0.18306583022700001
DA_MAG_00087	R05	ambiguous	DA_D_08	0.00024462955207900003
DA_MAG_00089	R01	ambiguous	DA_D_09	0.000966861135472
DA_MAG_00089	R02	ambiguous	DA_D_10	0.10712981855900001
DA_MAG_00089	R03	ambiguous	DA_D_15	0.0012051663282
DA_MAG_00089	R04	ambiguous	DA_D_14	0.0945172955811
DA_MAG_00089	R05	ambiguous	DA_D_08	0.00144427389531
DA_MAG_00091	R01	ambiguous	DA_D_09	0.00330798534356
DA_MAG_00091	R02	ambiguous	DA_D_10	0.0017230371520799998
DA_MAG_00091	R03	ambiguous	DA_D_15	0.00242745857052
DA_MAG_00091	R04	ambiguous	DA_D_14	0.0705494822503
DA_MAG_00091	R05	ambiguous	DA_D_08	0.0008413922497989998
DA_MAG_00092	R01	ambiguous	DA_D_09	2.42717529004
DA_MAG_00092	R02	ambiguous	DA_D_10	1.7161362088
DA_MAG_00092	R03	ambiguous	DA_D_15	3.7810239447500003
DA_MAG_00092	R04	ambiguous	DA_D_14	3.5441994322400006
DA_MAG_00092	R05	ambiguous	DA_D_08	0.334527400784
DA_MAG_00093	R01	colonization	DA_D_09	59.0841895886
DA_MAG_00093	R02	colonization	DA_D_10	61.5999359301
DA_MAG_00093	R03	colonization	DA_D_15	30.6511609756
DA_MAG_00093	R04	ambiguous	DA_D_14	39.5825805606
DA_MAG_00093	R05	colonization	DA_D_08	35.1245833273
DA_MAG_00094	R01	ambiguous	DA_D_09	0.00429742593668
