bins	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00098	0.997	0.998	0.997	0.998	0.977	0.999	0.995	0.996	0.998	0.992	0.998	0.989	0.982	0.996	0.995	0.990	0.998	0.998	0.995	0.998	0.088	0.994	0.997	0.993	0.002	0.998	0.984	0.999	0.996	0.006	0.014	0.009	0.998	0.998	0.988	0.998	0.990	0.904	0.466	0.687	0.979	0.510	0.981	0.995	0.995	0.010	0.203	0.988	0.982	0.767	0.983	0.979	0.989	0.004	0.716	0.869	0.971	0.953
DA_MAG_00099	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	1.000	1.000	0.999	0.997	1.000	0.999	1.000	1.000	1.000	1.000	1.000	1.000	0.841	0.998	0.999	0.999	0.031	1.000	0.028	1.000	1.000	0.101	0.018	0.013	0.537	0.320	0.987	1.000	0.987	0.041	0.022	0.040	1.000	0.470	1.000	1.000	0.999	0.024	0.578	1.000	0.860	1.000	0.985	0.997	0.996	0.013	0.843	0.969	0.999	0.999
DA_MAG_00100	0.976	0.994	0.993	0.995	0.998	0.999	0.995	1.000	0.999	1.000	0.999	0.998	0.997	0.999	1.000	1.000	1.000	1.000	1.000	1.000	0.005	1.000	0.999	0.997	0.001	0.995	0.974	0.999	0.581	0.004	0.044	0.006	1.000	0.999	0.994	0.997	0.995	0.726	0.040	0.023	0.701	0.000	0.003	0.001	0.003	0.000	0.088	0.884	0.880	0.542	0.310	0.487	0.851	0.045	0.999	0.998	1.000	0.999
DA_MAG_00101	0.959	0.360	0.657	0.952	0.062	0.420	0.903	0.001	0.002	0.001	0.002	0.001	0.364	0.058	0.051	0.105	0.002	0.002	0.002	0.002	0.930	0.021	0.002	0.001	0.008	0.081	0.005	0.002	0.001	0.027	0.000	0.000	0.001	0.002	0.001	0.002	0.001	0.003	0.003	0.003	0.002	0.001	0.002	0.002	0.001	0.001	0.002	0.001	0.002	0.003	0.049	0.001	0.001	0.006	0.002	0.001	0.001	0.001
DA_MAG_00102	0.008	0.003	0.001	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.002	0.000	0.875	0.134	0.002	0.039	0.001	0.000	0.002	0.003	1.000	0.013	0.002	0.001	0.010	0.613	0.025	0.105	0.002	0.032	0.000	0.002	0.000	0.001	0.001	0.001	0.002	0.005	0.012	0.010	0.005	0.014	0.000	0.000	0.000	0.004	0.004	0.001	0.002	0.005	0.123	0.004	0.000	0.002	0.000	0.000	0.011	0.003
DA_MAG_00103	0.415	0.575	0.467	0.527	0.555	0.269	0.418	0.528	0.267	0.396	0.286	0.180	0.567	0.103	0.236	0.354	0.461	0.567	0.861	0.370	0.001	0.638	0.480	0.392	0.005	0.001	0.001	0.001	0.001	0.001	0.038	0.034	0.087	0.375	0.083	0.051	0.005	0.427	0.184	0.109	0.129	0.026	0.047	0.073	0.101	0.104	0.003	0.002	0.003	0.003	0.068	0.001	0.004	0.005	0.212	0.327	0.526	0.453
DA_MAG_00104	0.230	0.245	0.462	0.131	0.017	0.084	0.131	0.036	0.162	0.177	0.079	0.059	0.084	0.393	0.359	0.325	0.220	0.984	0.191	0.303	0.018	0.097	0.239	0.651	0.000	0.072	0.141	0.661	0.483	0.002	0.009	0.001	0.069	0.004	0.142	0.215	0.010	0.502	0.017	0.006	0.104	0.000	0.007	0.008	0.937	0.005	0.047	0.742	0.021	0.008	0.014	0.001	0.028	0.026	0.002	0.002	0.004	0.001
DA_MAG_00105	0.023	0.001	0.003	0.000	0.045	0.153	0.129	0.389	0.304	0.414	0.426	0.327	0.294	0.232	0.667	0.529	0.666	0.419	0.133	0.603	0.001	0.479	0.433	0.367	0.000	0.099	0.137	0.001	0.001	0.000	0.000	0.000	0.020	0.012	0.014	0.001	0.000	0.002	0.000	0.001	0.002	0.000	0.002	0.053	0.001	0.000	0.000	0.001	0.001	0.001	0.002	0.001	0.001	0.004	0.001	0.001	0.001	0.001
DA_MAG_00106	0.022	0.023	0.080	0.050	0.033	0.003	0.009	0.815	0.171	0.408	0.269	0.206	0.026	0.284	0.947	0.080	0.389	0.916	0.846	0.713	0.537	0.258	0.161	0.231	0.001	0.040	0.002	0.003	0.000	0.023	0.000	0.000	0.000	0.494	0.003	0.001	0.063	0.001	0.002	0.000	0.000	0.001	0.000	0.011	0.000	0.046	0.011	0.002	0.001	0.798	0.130	0.007	0.000	0.000	0.002	0.044	0.006	0.028
DA_MAG_00107	0.002	0.004	0.001	0.001	0.000	0.000	0.000	0.000	0.003	0.001	0.007	0.000	0.990	0.206	0.001	0.060	0.000	0.001	0.000	0.000	0.020	0.010	0.002	0.000	0.031	0.815	0.024	0.000	0.001	0.040	0.001	0.006	0.000	0.002	0.000	0.001	0.001	0.003	0.016	0.013	0.001	0.001	0.012	0.012	0.000	0.007	0.003	0.000	0.000	0.002	0.161	0.008	0.000	0.007	0.000	0.001	0.002	0.002
