bins	DA_D_01	DA_D_02	DA_D_03	DA_D_04	DA_D_05	DA_D_06	DA_D_07	DA_D_08	DA_D_09	DA_D_10	DA_D_11	DA_D_12	DA_D_13	DA_D_14	DA_D_15	DA_D_16	DA_D_17	DA_D_18	DA_D_19	DA_D_20	DA_D_21	DA_D_22	DA_D_23	DA_D_24	DA_R01_CDI_P_01_PRE	DA_R01_CDI_P_02_POST	DA_R01_CDI_P_03_POST	DA_R01_CDI_P_05_POST	DA_R01_CDI_P_06_POST	DA_R01_CDI_P_08_PRE	DA_R02_CDI_C_01_PRE	DA_R02_CDI_C_02_PRE	DA_R02_CDI_C_03_POST	DA_R02_CDI_C_04_POST	DA_R02_CDI_C_05_POST	DA_R02_CDI_C_06_POST	DA_R02_CDI_C_07_POST	DA_R03_CDI_C_01_PRE	DA_R03_CDI_C_02_PRE	DA_R03_CDI_C_03_PRE	DA_R03_CDI_C_04_POST	DA_R03_CDI_C_05_POST	DA_R03_CDI_C_06_POST	DA_R03_CDI_C_07_POST	DA_R03_CDI_C_08_POST	DA_R04_UC_P_01_PRE	DA_R04_UC_P_02_PRE	DA_R04_UC_P_03_POST	DA_R04_UC_P_04_POST	DA_R04_UC_P_05_POST	DA_R04_UC_P_06_POST	DA_R04_UC_P_07_POST	DA_R04_UC_P_09_POST	DA_R05_UC_C_01_PRE	DA_R05_UC_C_02_POST	DA_R05_UC_C_03_POST	DA_R05_UC_C_04_POST	DA_R05_UC_C_05_POST
DA_MAG_00001	0.843	0.465	0.567	0.605	0.441	0.858	0.515	0.316	0.541	0.398	0.606	0.520	0.312	0.482	0.532	0.567	0.644	0.702	0.704	0.414	0.005	0.401	0.521	0.747	0.000	0.767	0.956	0.905	0.828	0.000	0.001	0.001	0.162	0.198	0.113	0.841	0.359	0.002	0.000	0.001	0.794	0.001	0.039	0.122	0.002	0.000	0.017	0.416	0.017	0.161	0.103	0.498	0.675	0.001	0.287	0.167	0.407	0.320
DA_MAG_00002	0.079	0.032	0.010	0.001	0.000	0.000	0.000	0.068	0.069	0.049	0.117	0.623	0.655	0.053	0.145	0.159	0.051	0.999	0.104	0.004	0.310	0.031	0.869	0.149	0.268	0.992	0.998	0.999	0.290	0.220	0.972	0.972	0.982	0.973	0.619	0.973	0.763	0.911	0.911	0.910	0.972	0.912	0.836	0.564	0.873	0.998	0.998	0.919	0.226	0.471	0.929	0.840	0.193	0.914	0.010	0.001	0.000	0.001
DA_MAG_00003	0.965	0.433	0.716	0.804	0.554	0.993	0.752	0.354	0.717	0.533	0.835	0.668	0.995	0.721	0.828	0.909	0.883	0.943	0.867	0.875	0.029	0.603	0.920	0.928	0.001	0.975	0.999	0.999	0.988	0.001	0.042	0.745	0.960	0.061	0.430	0.855	0.574	0.047	0.005	0.002	0.487	0.001	0.002	0.001	0.002	0.000	0.094	0.931	0.182	0.323	0.019	0.643	0.889	0.002	0.078	0.164	0.001	0.001
DA_MAG_00004	0.884	0.001	0.009	0.001	0.000	0.000	0.002	0.999	0.927	0.995	0.896	0.950	1.000	0.411	0.990	0.490	0.688	0.834	0.719	0.877	0.002	0.779	0.791	0.998	0.000	0.138	0.688	0.041	0.002	0.001	0.000	0.003	0.836	0.813	0.021	0.072	0.000	0.001	0.001	0.001	0.917	0.006	0.417	0.228	0.000	0.000	0.148	0.986	0.897	1.000	0.285	0.994	0.958	0.001	0.280	0.323	0.383	0.930
DA_MAG_00005	0.299	0.168	0.286	0.333	0.334	1.000	0.886	0.611	0.267	0.890	0.976	0.687	0.864	0.803	0.731	0.952	0.638	0.999	0.931	0.558	0.008	0.951	0.882	0.998	0.003	0.999	0.998	0.997	1.000	0.002	0.016	0.006	0.999	0.853	0.681	1.000	0.992	0.013	0.009	0.002	0.800	0.004	0.774	0.197	0.548	0.001	0.397	0.998	0.914	0.693	0.885	0.994	1.000	0.009	0.215	0.415	0.008	0.008
DA_MAG_00006	0.975	0.991	0.897	0.950	0.989	0.997	0.979	0.958	0.949	0.999	0.936	0.868	0.982	0.994	0.996	0.993	0.996	1.000	0.992	0.992	0.011	0.999	0.996	0.997	0.001	0.997	0.999	1.000	1.000	0.002	0.011	0.006	0.999	0.565	0.249	0.997	0.946	0.030	0.008	0.004	0.712	0.003	0.865	0.279	0.876	0.001	0.123	0.977	0.341	0.420	0.278	0.958	0.966	0.006	0.006	0.357	0.008	0.008
DA_MAG_00007	0.999	0.999	0.999	1.000	0.970	1.000	0.996	0.999	0.999	0.998	0.999	0.994	0.863	1.000	0.998	0.998	0.999	1.000	0.987	0.999	0.364	0.965	0.986	0.952	0.003	0.942	0.674	0.994	0.877	0.017	0.002	0.003	0.987	0.919	0.938	0.995	0.897	0.006	0.003	0.004	0.991	0.307	0.951	0.998	0.732	0.001	0.094	0.951	0.757	0.182	0.581	0.723	0.770	0.003	0.175	0.107	0.331	0.258
DA_MAG_00008	0.999	0.977	0.809	0.537	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.990	0.999	0.415	0.222	0.000	0.001	0.000	0.001	0.000	0.001	0.000	0.000	0.999	0.874	0.782	0.749	0.000	0.788	0.000	0.001	0.001	0.002	0.001	0.074	0.723	0.999	0.895	0.571	0.079	0.000	0.000	0.000	0.000	0.005	0.005	0.001	0.749	0.019	1.000	0.289	0.000	0.000	0.000	0.000	0.023	0.001
DA_MAG_00009	0.998	0.939	0.999	0.999	0.908	1.000	0.999	0.998	0.938	0.938	0.959	0.724	0.812	0.880	1.000	1.000	0.987	0.996	1.000	1.000	0.001	1.000	1.000	0.878	0.006	0.999	1.000	1.000	1.000	0.002	0.010	0.018	0.326	0.050	0.283	0.655	0.077	0.013	0.020	0.004	0.986	0.000	0.000	0.000	0.000	0.001	0.053	0.810	0.852	0.100	0.089	0.431	0.511	0.001	0.306	0.266	0.000	0.000
DA_MAG_00010	0.999	0.999	0.998	0.999	0.960	0.999	0.986	0.998	0.995	0.996	0.995	0.957	0.836	0.997	0.988	0.991	0.998	0.998	0.976	0.998	0.025	0.980	0.975	0.952	0.001	0.994	0.846	0.985	0.993	0.002	0.003	0.004	0.999	0.642	0.909	0.985	0.808	0.005	0.003	0.003	0.997	0.705	0.988	0.997	0.983	0.003	0.148	0.989	0.569	0.724	0.830	0.972	0.988	0.002	0.677	0.410	0.983	0.998
DA_MAG_00011	0.884	0.386	0.940	0.777	0.909	0.934	0.951	0.999	0.484	0.962	0.250	0.370	0.739	0.922	0.913	0.015	0.991	1.000	0.020	0.999	0.006	0.999	0.999	0.999	0.001	0.003	0.001	0.020	0.021	0.014	0.000	0.000	0.003	0.004	0.002	0.004	0.002	0.007	0.001	0.001	0.006	0.001	0.002	0.119	0.008	0.000	0.001	0.002	0.003	0.002	0.005	0.002	0.002	0.004	0.005	1.000	0.004	0.004
DA_MAG_00012	0.665	0.553	0.652	0.841	0.723	0.553	0.380	0.269	0.527	0.855	0.391	0.345	0.166	0.533	0.502	0.747	0.814	0.888	0.425	0.455	0.142	0.338	0.369	0.431	0.001	0.556	0.420	0.212	0.357	0.003	0.000	0.001	0.259	0.003	0.045	0.389	0.098	0.001	0.001	0.001	0.268	0.002	0.346	0.220	0.370	0.001	0.060	0.844	0.016	0.031	0.022	0.213	0.259	0.001	0.022	0.150	0.002	0.002
DA_MAG_00013	0.034	0.000	0.002	0.000	0.258	0.861	0.518	0.445	0.536	0.702	0.775	0.422	0.391	0.649	0.623	0.641	0.650	0.516	0.439	0.611	0.001	0.425	0.392	0.581	0.000	0.730	0.420	0.744	0.879	0.000	0.001	0.000	0.481	0.028	0.256	0.192	0.126	0.001	0.002	0.001	0.330	0.541	0.814	0.863	0.876	0.001	0.058	0.844	0.261	0.050	0.003	0.000	0.001	0.002	0.000	0.000	0.000	0.000
DA_MAG_00014	0.284	0.003	0.006	0.003	0.002	0.003	0.002	0.002	0.288	0.582	0.405	0.917	0.992	0.700	0.868	0.992	0.952	0.678	0.238	0.804	0.181	0.381	0.475	0.977	0.004	0.999	0.973	0.946	0.999	0.002	0.016	0.004	0.087	0.074	0.861	0.998	0.997	0.011	0.006	0.003	0.921	0.998	0.998	0.998	0.998	0.010	0.198	0.949	0.185	0.948	0.214	0.979	0.005	0.002	0.002	0.003	0.003	0.002
DA_MAG_00015	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.220	1.000	1.000	1.000	0.012	1.000	0.999	1.000	1.000	0.045	0.036	0.011	1.000	0.971	1.000	1.000	0.992	0.018	0.020	0.006	0.971	0.023	1.000	0.979	1.000	0.020	0.323	0.999	0.999	0.910	0.995	0.974	0.944	0.004	1.000	1.000	1.000	1.000
DA_MAG_00016	0.920	0.914	0.846	0.818	0.275	0.679	0.192	0.617	0.315	0.749	0.511	0.519	0.186	0.290	0.442	0.544	0.918	0.820	0.641	0.264	0.244	0.352	0.377	0.651	0.002	0.236	0.161	0.004	0.004	0.007	0.000	0.000	0.006	0.004	0.001	0.012	0.005	0.003	0.001	0.003	0.076	0.004	0.512	0.222	0.804	0.002	0.014	0.313	0.012	0.074	0.019	0.002	0.003	0.002	0.356	0.152	0.610	0.812
DA_MAG_00017	0.998	0.996	0.997	0.998	0.982	0.967	0.935	0.971	0.997	0.999	0.996	0.930	0.906	0.939	0.979	0.999	1.000	0.999	0.986	0.993	0.005	0.954	0.962	0.999	0.001	0.910	0.765	0.592	0.982	0.000	0.003	0.001	0.697	0.652	0.731	0.883	0.627	0.002	0.001	0.002	0.994	0.220	0.997	1.000	0.999	0.004	0.055	0.784	0.474	0.389	0.410	0.736	0.607	0.001	0.739	0.881	0.987	0.989
DA_MAG_00018	0.176	0.004	0.005	0.001	0.008	0.013	0.090	1.000	0.125	0.416	0.960	0.435	0.854	0.979	0.650	1.000	0.999	0.998	1.000	0.998	0.724	0.990	0.982	0.999	0.028	0.997	0.838	0.467	0.008	0.020	0.000	0.022	0.043	0.500	0.143	0.722	0.010	0.209	0.093	0.058	1.000	0.269	0.135	0.511	1.000	0.049	0.900	1.000	1.000	0.999	1.000	1.000	0.993	0.151	1.000	0.719	0.437	1.000
DA_MAG_00019	0.079	0.021	0.009	0.005	0.003	0.000	0.000	0.001	0.003	0.007	0.015	0.003	0.033	0.056	0.004	0.003	0.001	0.001	0.000	0.001	1.000	0.318	0.010	0.001	0.133	0.973	0.364	0.255	0.011	0.177	0.003	0.018	0.001	0.004	0.003	0.007	0.017	0.091	0.246	0.044	0.039	0.073	0.006	0.005	0.004	0.009	0.032	0.003	0.014	0.012	0.696	0.022	0.004	0.011	0.000	0.004	0.091	0.031
DA_MAG_00020	0.406	0.607	0.366	0.314	0.250	0.367	0.244	0.361	0.167	0.512	0.436	0.438	0.222	0.264	0.593	0.437	0.267	0.784	0.285	0.353	0.119	0.331	0.389	0.852	0.003	0.546	0.178	0.201	0.777	0.025	0.001	0.001	0.583	0.010	0.237	0.303	0.084	0.011	0.006	0.002	0.090	0.003	0.965	0.202	0.982	0.007	0.032	0.568	0.075	0.153	0.265	0.092	0.206	0.001	0.002	0.001	0.003	0.003
DA_MAG_00021	0.171	0.013	0.027	0.097	0.023	0.998	0.043	0.016	0.185	0.074	0.119	0.098	0.509	0.028	0.034	0.149	0.233	0.180	0.059	0.024	0.000	0.050	0.055	0.686	0.000	0.814	0.331	0.027	0.007	0.000	0.010	0.000	0.022	0.171	0.008	0.060	0.218	0.001	0.000	0.000	0.345	0.959	0.119	0.038	0.132	0.000	0.023	0.076	0.000	0.026	0.002	0.001	0.002	0.014	0.002	0.013	0.013	0.004
DA_MAG_00022	0.853	0.951	0.895	0.935	0.589	0.728	0.252	0.597	0.476	0.985	0.825	0.713	0.120	0.686	0.633	0.948	0.864	0.895	0.756	0.391	0.007	0.667	0.643	0.347	0.000	0.630	0.413	0.179	0.819	0.000	0.004	0.000	0.012	0.048	0.159	0.347	0.129	0.006	0.002	0.001	0.022	0.000	0.001	0.002	0.009	0.000	0.044	0.765	0.607	0.057	0.007	0.314	0.336	0.006	0.004	0.005	0.006	0.004
DA_MAG_00023	0.705	0.981	0.747	0.720	0.424	0.694	0.300	0.938	0.241	0.226	0.288	0.470	0.647	0.713	0.407	0.090	0.579	0.708	0.234	0.834	0.347	0.486	0.336	0.252	0.126	0.015	0.005	0.003	0.038	0.001	0.026	0.117	0.035	0.227	0.012	0.023	0.002	0.244	0.002	0.204	0.019	0.003	0.135	0.023	0.074	0.018	0.437	0.028	0.052	0.064	0.532	0.052	0.015	0.006	0.216	0.033	0.026	0.091
DA_MAG_00024	0.853	0.004	0.077	0.002	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	1.000	1.000	0.999	1.000	1.000	1.000	0.894	1.000	1.000	1.000	0.078	0.963	1.000	1.000	1.000	0.453	0.894	0.904	0.464	0.090	0.202	0.666	0.336	0.976	0.595	0.807	0.968	0.984	0.922	0.926	0.927	0.038	0.877	1.000	0.999	1.000	1.000	1.000	0.942	0.851	0.001	0.004	0.012	0.004
DA_MAG_00025	0.997	0.702	0.988	0.999	1.000	1.000	0.999	0.999	0.995	1.000	1.000	0.999	1.000	0.999	1.000	1.000	1.000	1.000	0.995	1.000	0.912	1.000	1.000	1.000	0.049	1.000	1.000	0.184	0.002	0.122	0.000	0.006	0.832	0.098	0.970	0.998	0.031	0.100	0.071	0.009	0.015	0.049	0.001	0.001	0.000	0.013	0.493	1.000	0.626	0.995	0.298	0.952	0.994	0.011	0.992	1.000	0.999	0.999
DA_MAG_00026	0.025	0.017	0.006	0.007	0.003	0.004	0.002	0.004	0.006	0.003	0.127	0.004	0.995	0.704	0.005	0.055	0.002	0.006	0.002	0.010	0.015	0.212	0.003	0.003	0.066	0.013	0.039	0.820	0.821	0.681	0.057	0.037	0.002	0.671	0.819	0.868	0.819	0.027	0.051	0.081	0.793	0.005	0.002	0.006	0.002	0.020	0.860	0.867	0.861	0.866	0.992	0.008	0.854	0.023	0.001	0.002	0.006	0.005
DA_MAG_00027	1.000	0.999	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.990	0.996	1.000	0.982	0.999	0.999	0.999	1.000	1.000	0.999	0.931	0.995	1.000	1.000	0.009	0.987	0.957	0.975	0.865	0.045	0.002	0.010	0.998	1.000	0.925	0.854	0.837	0.917	0.020	0.388	1.000	0.380	0.903	0.949	0.001	0.002	0.257	0.996	0.991	0.994	0.920	0.980	0.992	0.005	0.997	0.510	0.937	0.997
DA_MAG_00028	0.007	0.003	0.006	0.003	0.002	0.003	0.003	0.002	0.001	0.017	0.002	0.001	0.074	0.030	0.888	0.850	0.932	0.691	0.594	0.997	0.095	0.817	0.997	0.998	0.004	0.061	0.011	0.004	0.003	0.007	0.000	0.000	0.002	0.003	0.001	0.042	0.002	0.260	0.001	0.003	0.827	0.149	0.988	0.966	0.009	0.000	0.078	0.891	0.022	0.148	0.028	0.004	0.004	0.002	0.001	0.003	0.002	0.004
DA_MAG_00029	0.696	0.579	0.900	0.976	0.248	0.998	0.953	0.979	0.461	0.997	0.831	0.933	0.996	0.112	0.907	0.265	0.053	0.179	0.253	0.266	0.104	0.834	0.555	0.967	0.001	0.935	0.038	0.002	0.003	0.001	0.000	0.000	0.070	0.003	0.051	0.708	0.114	0.004	0.001	0.002	0.018	0.009	0.097	0.112	0.002	0.001	0.072	0.770	0.145	0.694	0.011	0.003	0.003	0.001	0.004	0.003	0.003	0.002
DA_MAG_00030	0.227	0.263	0.317	0.419	0.398	0.989	0.415	0.229	0.086	0.511	0.521	0.605	0.462	0.191	0.288	0.496	0.310	0.900	0.282	0.172	0.298	0.559	0.579	0.960	0.002	0.998	0.988	0.948	0.997	0.003	0.005	0.002	0.520	0.734	0.517	0.997	0.871	0.816	0.012	0.006	0.413	0.204	0.791	0.487	0.696	0.002	0.136	0.951	0.476	0.298	0.768	0.884	0.957	0.023	0.137	0.715	0.496	0.838
DA_MAG_00031	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.919	1.000	1.000	1.000	0.027	1.000	0.998	1.000	0.011	0.125	0.010	0.035	1.000	1.000	1.000	1.000	1.000	0.043	0.040	0.028	1.000	0.224	0.992	0.997	0.985	0.007	0.803	1.000	1.000	0.999	1.000	1.000	0.999	0.016	1.000	1.000	0.742	0.982
DA_MAG_00032	0.707	0.573	0.624	0.877	0.456	0.565	0.484	0.690	0.816	0.667	0.554	0.468	0.636	0.793	0.857	0.573	0.594	0.538	0.458	0.572	0.153	0.548	0.418	0.439	0.001	0.434	0.165	0.133	0.269	0.004	0.000	0.000	0.302	0.042	0.096	0.338	0.178	0.004	0.001	0.002	0.137	0.002	0.192	0.163	0.076	0.000	0.020	0.445	0.056	0.039	0.023	0.004	0.004	0.006	0.003	0.006	0.003	0.004
DA_MAG_00033	0.791	0.579	0.655	0.838	0.106	0.996	0.386	0.069	0.433	0.942	0.989	0.981	0.981	0.817	0.724	0.997	0.681	0.991	0.580	0.409	0.834	0.293	0.521	0.998	0.006	0.998	0.999	0.988	0.979	0.005	0.002	0.002	0.346	0.004	0.774	0.605	0.987	0.028	0.023	0.002	0.182	0.005	0.998	0.841	0.959	0.009	0.247	0.998	0.070	0.171	0.096	0.086	0.377	0.002	0.038	0.060	0.044	0.344
DA_MAG_00034	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.331	1.000	1.000	0.999	0.008	0.998	0.324	0.145	0.014	0.040	0.002	0.026	1.000	1.000	0.999	1.000	0.998	0.030	0.017	0.082	1.000	0.118	1.000	1.000	0.015	0.006	0.653	0.999	0.999	0.998	0.998	0.999	0.999	0.023	1.000	0.998	0.999	0.999
DA_MAG_00035	0.742	0.220	0.545	0.757	0.493	0.390	0.600	0.738	0.605	0.663	0.452	0.434	0.645	0.506	0.840	0.470	0.642	0.827	0.677	0.901	0.376	0.509	0.471	0.444	0.002	0.632	0.616	0.020	0.075	0.007	0.000	0.001	0.946	0.715	0.125	0.612	0.300	0.008	0.002	0.004	0.193	0.120	0.578	0.115	0.010	0.001	0.111	0.958	0.383	0.386	0.207	0.623	0.813	0.011	0.082	0.063	0.130	0.372
DA_MAG_00036	0.838	0.630	0.563	0.628	0.486	0.598	0.723	0.512	0.449	0.940	0.852	0.593	0.981	0.783	0.914	0.600	0.528	0.790	0.477	0.726	0.007	0.576	0.456	0.626	0.000	0.792	0.502	0.844	0.814	0.000	0.001	0.000	0.156	0.004	0.214	0.355	0.247	0.006	0.002	0.002	0.163	0.001	0.002	0.002	0.001	0.000	0.042	0.719	0.033	0.032	0.009	0.246	0.295	0.009	0.335	0.067	0.004	0.004
DA_MAG_00037	0.486	0.004	0.005	0.004	0.004	0.005	0.003	0.021	0.367	0.939	0.227	0.908	0.996	0.088	0.685	0.817	0.829	0.568	0.033	0.022	0.799	0.033	0.007	0.007	0.005	0.975	0.993	0.267	0.992	0.001	0.009	0.000	0.009	0.087	0.005	0.024	0.386	0.011	0.005	0.049	0.025	0.001	0.004	0.002	0.001	0.000	0.013	0.224	0.136	0.450	0.049	0.007	0.006	0.002	0.004	0.007	0.004	0.005
DA_MAG_00038	0.999	0.384	0.921	0.999	0.237	0.999	0.922	0.677	0.628	0.988	0.956	0.992	0.999	0.710	0.996	0.977	0.797	0.999	0.995	0.991	0.023	0.906	0.980	0.813	0.002	1.000	1.000	0.979	1.000	0.002	0.011	0.002	0.993	0.028	0.671	0.914	0.962	0.017	0.008	0.003	0.348	0.005	0.192	0.226	0.006	0.002	0.105	0.894	0.169	0.928	0.031	0.301	0.740	0.002	0.165	0.333	0.013	0.013
DA_MAG_00039	0.037	0.018	0.078	0.008	0.004	0.008	0.153	0.008	0.011	0.010	0.025	0.011	0.852	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.630	0.106	0.015	0.010	0.066	0.854	0.896	0.025	0.012	0.074	0.002	0.042	0.010	0.014	0.004	0.605	0.017	0.141	0.040	0.023	0.671	0.961	0.994	0.998	0.938	0.019	0.845	1.000	1.000	1.000	0.802	0.887	0.171	0.016	0.004	0.013	0.015	0.012
DA_MAG_00040	0.521	0.258	0.177	0.554	0.142	0.994	0.679	0.135	0.296	0.252	0.856	0.852	0.996	0.175	0.381	0.567	0.375	0.472	0.050	0.207	0.523	0.100	0.303	0.865	0.004	0.416	0.994	0.794	0.974	0.006	0.004	0.002	0.999	0.238	0.687	0.999	0.999	0.011	0.005	0.002	0.127	0.004	0.991	0.259	0.118	0.001	0.488	0.998	0.034	0.979	0.610	0.746	0.996	0.015	0.245	0.996	0.589	0.975
DA_MAG_00041	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.999	1.000	1.000	0.944	1.000	1.000	1.000	0.188	0.999	0.249	0.515	0.028	0.615	0.001	0.194	1.000	1.000	1.000	1.000	1.000	0.212	0.185	0.072	0.997	0.088	0.810	0.996	0.863	0.043	0.700	0.971	1.000	1.000	1.000	1.000	1.000	0.053	0.981	0.999	0.999	1.000
DA_MAG_00042	0.076	0.028	0.012	0.007	0.004	0.000	0.000	0.001	0.004	0.002	0.007	0.001	0.942	0.676	0.007	0.081	0.002	0.001	0.001	0.000	1.000	0.005	0.002	0.001	0.114	0.021	0.114	0.292	0.004	0.031	0.000	0.009	0.000	0.007	0.000	0.005	0.014	0.060	0.081	0.086	0.033	0.080	0.004	0.002	0.000	0.004	0.025	0.000	0.014	0.006	0.299	0.008	0.001	0.016	0.000	0.002	0.949	0.948
DA_MAG_00043	0.993	0.599	0.975	0.955	0.629	0.933	0.972	0.349	0.993	0.806	0.998	0.963	0.996	0.929	0.986	0.877	0.995	1.000	0.893	0.999	0.013	0.999	0.997	1.000	0.011	0.999	0.991	0.535	0.999	0.037	0.012	0.005	0.439	0.004	0.460	0.968	0.645	0.011	0.005	0.002	0.080	0.002	0.001	0.001	0.000	0.005	0.545	0.999	0.369	1.000	0.075	0.519	0.002	0.004	0.001	0.002	0.003	0.003
DA_MAG_00044	0.551	0.995	0.992	0.995	0.993	0.983	0.268	0.679	0.257	0.958	0.186	0.996	0.390	0.883	0.806	0.949	0.335	0.503	0.708	0.098	0.060	0.519	0.980	0.648	0.010	0.457	0.997	0.995	0.994	0.005	0.047	0.003	0.854	0.012	0.339	0.996	0.996	0.024	0.014	0.008	0.432	0.006	0.102	0.029	0.007	0.001	0.064	0.723	0.066	0.355	0.086	0.070	0.016	0.004	0.319	0.079	0.099	0.926
DA_MAG_00045	0.375	0.220	0.163	0.282	0.202	0.640	0.267	0.226	0.229	0.473	0.620	0.308	0.409	0.345	0.684	0.448	0.410	0.722	0.114	0.494	0.005	0.330	0.270	0.521	0.000	0.973	0.495	0.436	0.901	0.001	0.001	0.000	0.970	0.013	0.325	0.842	0.342	0.003	0.001	0.001	0.613	0.404	0.949	0.547	0.618	0.001	0.041	0.619	0.418	0.235	0.376	0.508	0.587	0.002	0.182	0.215	0.001	0.001
DA_MAG_00046	0.648	0.650	0.526	0.598	0.418	0.647	0.537	0.417	0.597	0.618	0.625	0.183	0.174	0.379	0.309	0.295	0.539	0.422	0.315	0.381	0.008	0.426	0.470	0.295	0.000	0.202	0.728	0.997	0.300	0.001	0.000	0.002	0.998	0.740	0.241	0.479	0.233	0.009	0.003	0.005	0.664	0.007	0.216	0.489	0.931	0.002	0.032	0.663	0.133	0.222	0.725	0.613	0.527	0.007	0.171	0.994	0.274	0.169
DA_MAG_00047	0.038	0.015	0.008	0.005	0.003	0.003	0.001	0.005	0.006	0.004	0.021	0.002	0.976	0.184	0.005	0.078	0.003	0.005	0.002	0.003	1.000	0.054	0.006	0.003	0.052	0.943	0.095	0.147	0.004	0.081	0.000	0.006	0.002	0.006	0.001	0.010	0.010	0.029	0.060	0.021	0.020	0.040	0.003	0.003	0.002	0.015	0.033	0.003	0.008	0.019	0.551	0.017	0.005	0.013	0.002	0.004	0.043	0.014
DA_MAG_00048	0.372	0.565	0.350	0.374	0.282	0.359	0.304	0.420	0.355	0.305	0.678	0.354	0.134	0.261	0.514	0.222	0.275	0.562	0.494	0.273	0.050	0.341	0.314	0.156	0.000	0.152	0.279	0.373	0.121	0.003	0.000	0.000	0.746	0.474	0.464	0.630	0.176	0.056	0.004	0.002	0.532	0.063	0.283	0.261	0.139	0.000	0.013	0.325	0.068	0.043	0.457	0.371	0.206	0.001	0.095	0.065	0.198	0.312
DA_MAG_00049	0.998	0.970	0.974	0.996	0.947	0.994	0.928	0.975	0.994	0.998	0.987	0.998	0.990	0.986	0.994	0.998	0.998	0.998	0.993	0.961	0.662	0.946	0.972	0.988	0.006	0.944	0.996	0.979	0.969	0.051	0.002	0.004	0.997	0.779	0.997	0.999	0.993	0.006	0.005	0.001	0.851	0.002	0.960	0.935	0.988	0.010	0.210	0.993	0.431	0.298	0.791	0.804	0.854	0.002	0.027	0.202	0.215	0.320
DA_MAG_00050	0.037	0.015	0.008	0.004	0.003	0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.128	0.047	0.004	0.006	0.001	0.001	0.001	0.001	1.000	0.012	0.003	0.001	0.028	0.151	0.080	0.291	0.006	0.024	0.004	0.001	0.000	0.002	0.008	0.001	0.008	0.036	0.061	0.011	0.045	0.099	0.020	0.019	0.019	0.003	0.016	0.000	0.006	0.002	0.152	0.003	0.002	0.020	0.003	0.031	0.085	0.037
DA_MAG_00051	0.247	0.038	0.056	0.248	0.041	0.990	0.061	0.066	0.143	0.124	0.342	0.575	0.935	0.108	0.187	0.513	0.320	0.886	0.155	0.164	0.989	0.102	0.181	0.998	0.014	0.843	0.368	0.020	0.966	0.006	0.003	0.002	0.143	0.011	0.012	0.100	0.723	0.011	0.007	0.003	0.431	0.171	0.866	0.563	0.389	0.002	0.101	0.831	0.060	0.979	0.413	0.047	0.048	0.004	0.109	0.322	0.155	0.994
DA_MAG_00052	0.953	0.008	0.048	0.011	0.996	1.000	0.999	0.999	0.984	0.995	1.000	0.997	1.000	0.999	0.999	1.000	0.998	1.000	1.000	1.000	0.282	0.998	0.999	0.996	0.010	0.988	0.610	0.999	0.001	0.005	0.000	0.017	0.999	1.000	0.996	0.999	0.984	0.038	0.013	0.004	0.981	0.008	0.019	0.089	0.978	0.019	0.175	0.980	0.983	0.905	0.999	0.976	0.924	0.071	1.000	1.000	1.000	1.000
DA_MAG_00053	1.000	0.967	0.780	1.000	0.993	1.000	1.000	0.972	0.999	0.821	1.000	1.000	0.770	0.992	0.999	0.774	1.000	0.999	0.999	0.981	0.967	0.995	0.994	0.999	0.007	1.000	0.550	0.794	1.000	0.009	0.020	0.002	0.014	0.011	0.163	0.762	0.096	0.929	0.044	0.010	0.118	0.008	0.004	0.955	0.956	0.002	0.438	1.000	0.689	0.067	0.151	0.223	0.182	0.004	0.005	0.008	0.010	0.006
DA_MAG_00054	0.155	0.003	0.004	0.006	0.288	0.999	0.791	0.082	0.100	0.037	0.136	0.190	0.943	0.069	0.206	0.375	0.108	0.116	0.731	0.054	0.952	0.009	0.007	0.008	0.007	0.668	0.689	0.009	0.008	0.003	0.000	0.009	0.036	0.007	0.003	0.028	0.007	0.007	0.009	0.003	0.004	0.005	0.004	0.005	0.003	0.004	0.066	0.552	0.628	0.994	0.768	0.999	0.999	0.019	0.006	0.009	0.010	0.009
