MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DB_MAG_00019	R04	ambiguous	DB_D_13	3.99882229214
DB_MAG_00019	R05	ambiguous	DB_D_07	2.64324032695
DB_MAG_00020	R01	colonization	DB_D_08	2.1216066818
DB_MAG_00020	R02	no_colonization	DB_D_11	6.4670938180699995
DB_MAG_00020	R03	ambiguous	DB_D_14	0.0153484192395
DB_MAG_00020	R04	ambiguous	DB_D_13	3.3236248066600003
DB_MAG_00020	R05	ambiguous	DB_D_07	2.01763304685
DB_MAG_00021	R01	no_colonization	DB_D_08	1.85433665523
DB_MAG_00021	R02	no_colonization	DB_D_11	1.66418151026
DB_MAG_00021	R03	ambiguous	DB_D_14	6.88334936129
DB_MAG_00021	R04	ambiguous	DB_D_13	1.6152234411000002
DB_MAG_00021	R05	ambiguous	DB_D_07	0.341926929525
DB_MAG_00022	R01	ambiguous	DB_D_08	13.2981164099
DB_MAG_00022	R02	colonization	DB_D_11	6.60580020798
DB_MAG_00022	R03	ambiguous	DB_D_14	10.8689140698
DB_MAG_00022	R04	ambiguous	DB_D_13	8.86616306597
DB_MAG_00022	R05	colonization	DB_D_07	18.7995817244
DB_MAG_00023	R01	ambiguous	DB_D_08	0.0
DB_MAG_00023	R02	ambiguous	DB_D_11	0.0
DB_MAG_00023	R03	ambiguous	DB_D_14	29.198255854699998
DB_MAG_00023	R04	ambiguous	DB_D_13	0.12203760095300001
DB_MAG_00023	R05	ambiguous	DB_D_07	0.0
DB_MAG_00024	R01	ambiguous	DB_D_08	2.61119688957
DB_MAG_00024	R02	no_colonization	DB_D_11	2.83377183542
DB_MAG_00024	R03	ambiguous	DB_D_14	4.986016419009999
DB_MAG_00024	R04	ambiguous	DB_D_13	4.74044280029
DB_MAG_00024	R05	colonization	DB_D_07	3.3481568988999997
DB_MAG_00026	R01	colonization	DB_D_08	3.18960720448
DB_MAG_00026	R02	no_colonization	DB_D_11	1.8130536557199999
DB_MAG_00026	R03	ambiguous	DB_D_14	0.0110864496017
DB_MAG_00026	R04	colonization	DB_D_13	2.4305472815
DB_MAG_00026	R05	colonization	DB_D_07	0.66151095759
DB_MAG_00029	R01	ambiguous	DB_D_08	0.0008214478325150001
DB_MAG_00029	R02	ambiguous	DB_D_11	7.44969573144e-05
DB_MAG_00029	R03	colonization	DB_D_14	15.023473277999999
DB_MAG_00029	R04	ambiguous	DB_D_13	0.0190874677494
DB_MAG_00029	R05	ambiguous	DB_D_07	0.00038199503644199996
DB_MAG_00030	R01	ambiguous	DB_D_08	300.331797407
DB_MAG_00030	R02	ambiguous	DB_D_11	0.033191999015700004
DB_MAG_00030	R03	ambiguous	DB_D_14	0.0976428087256
DB_MAG_00030	R04	no_colonization	DB_D_13	6.148356994229999
DB_MAG_00030	R05	colonization	DB_D_07	266.5541295
DB_MAG_00032	R01	ambiguous	DB_D_08	0.0317634928443
DB_MAG_00032	R02	ambiguous	DB_D_11	0.016723027563399998
DB_MAG_00032	R03	ambiguous	DB_D_14	82.0843566736
DB_MAG_00032	R04	no_colonization	DB_D_13	8.19432682404
DB_MAG_00032	R05	ambiguous	DB_D_07	0.0170781211616
DB_MAG_00033	R01	ambiguous	DB_D_08	0.000405819285983
