bins	DB_D_01	DB_D_02	DB_D_03	DB_D_04	DB_D_05	DB_D_06	DB_D_07	DB_D_08	DB_D_09	DB_D_10	DB_D_11	DB_D_12	DB_D_13	DB_D_14	DB_D_15	DB_R01_CDI_C_01_PRE	DB_R01_CDI_C_02_PRE	DB_R01_CDI_C_03_POST	DB_R01_CDI_C_04_POST	DB_R01_CDI_C_05_POST	DB_R01_CDI_C_06_POST	DB_R01_CDI_C_07_POST	DB_R02_CDI_C_01_PRE	DB_R02_CDI_C_02_PRE	DB_R02_CDI_C_03_POST	DB_R02_CDI_C_04_POST	DB_R02_CDI_C_05_POST	DB_R02_CDI_C_06_POST	DB_R03_CDI_P_01_PRE	DB_R03_CDI_P_02_PRE	DB_R03_CDI_P_03_POST	DB_R03_CDI_P_04_POST	DB_R03_CDI_P_05_POST	DB_R03_CDI_P_06_POST	DB_R03_CDI_P_07_POST	DB_R03_CDI_P_08_POST	DB_R04_CDI_P_01_PRE	DB_R04_CDI_P_02_PRE	DB_R04_CDI_P_03_POST	DB_R04_CDI_P_04_POST	DB_R04_CDI_P_05_POST	DB_R04_CDI_P_06_POST	DB_R04_CDI_P_07_POST	DB_R04_CDI_P_08_POST	DB_R04_CDI_P_09_POST	DB_R05_UC_P_01_PRE	DB_R05_UC_P_02_POST	DB_R05_UC_P_03_POST	DB_R05_UC_P_04_POST	DB_R05_UC_P_05_POST	DB_R05_UC_P_06_POST	DB_R06_UC_C_01_PRE	DB_R06_UC_C_02_POST	DB_R06_UC_C_03_POST
DB_MAG_00099	24.8176834007	58.9694254099	23.2948025509	18.3892172037	5.05560172371	3.16456319721	3.94930351741	21.7079987926	22.3422808922	46.2042296305	31.7137922176	7.54601409021	1.25231165428	0.0271336000668	0.220391622943	0.232564815588	0.164816230067	0.00172306388116	0.19514356725	0.0192080199857	0.00710739767903	0.140549479484	0.0	0.162311590061	0.0279293049303	0.000884330586792	0.0163540148095	0.00208527335898	0.0663755290249	0.000918368002261	0.00703803841732	0.0080206279582	0.00857742869804	0.00865449454438	0.00339796160836	0.00969809454695	0.000965891940839	0.00133452357252	0.0156141826846	0.0104103114102	0.00387898093263	0.00475175164247	0.00465028161145	0.0509225424023	0.0110146360887	0.000193949046631	0.042018868288	1.89012401179	0.0057690208142	0.00357264419341	0.00352576247022	0.0	0.000773869540366	0.00351099151633
DB_MAG_00100	119.487093374	37.5986718805	73.5319250723	46.2201061409	126.40095837	96.3693456572	80.354993766	47.6858556768	21.4242236792	4.89458457058	31.9699652944	47.5995734737	7.40555044935	0.0280492730741	0.654292906503	0.000405673115088	0.0722229572431	0.0139576084737	0.323395072167	0.0617026179497	0.0124146487423	0.331179089347	0.0	0.416090940872	0.090325791435	0.00103652547548	0.0434245469911	0.00373604786768	0.0488384869006	0.0149249154264	0.0175394479867	0.046531494866	0.0118372435958	0.0211624681398	0.0122727069612	0.00323136597936	0.0190561222031	0.0121088605843	0.02817631973	47.2995330816	7.36024385948	0.0916374386343	0.220292768066	38.7718110632	0.105511809644	0.0	0.0821580057355	0.00157450234949	0.0146953552619	0.0155040729406	0.00658539769546	0.0050065144268	0.000528338851831	0.00932259599251
DB_MAG_00101	0.910369562683	0.762204427104	1.96514864921	2.48854982156	2.35951894285	0.914050546258	1.69117455446	1.38717412202	1.15891320422	0.977971784101	1.91767828163	4.99911616055	1.32237832282	1.16980609184	1.20835254504	5.64590712949	0.427658083621	10.7766399336	229.768484084	2.76756393919	0.749695133881	2.02815337257	0.0040682432168	0.223391127801	0.0376811699436	0.270808650574	0.548928843865	0.886880248427	0.931129503255	0.0460443646259	1.12472624576	1.46459297196	1.12662543158	0.653189224339	0.791665607754	4.12678477279	0.100644343569	0.0210286019483	1.46656920632	4.00578065695	5.34543640733	2.50555173002	0.895569790037	0.57176869143	0.67593790453	0.00131426240955	1.27801531047	2.63972428727	0.665342319371	0.783609397017	2.60357480989	0.0102930385642	0.00103874331019	0.00859313009463
DB_MAG_00102	0.0465074740048	0.0331782016649	0.0652062422943	0.0793447757627	0.0696278387548	0.0174265195194	0.0394807660232	0.0421447719797	0.0881673341369	0.0399106524128	0.0821581672396	0.14414348576	0.14049095605	38.5974849067	36.6596471235	0.00811453549056	3.05137120862	0.900768679853	1.67492378114	0.367110295091	0.119552049784	1.31528362184	0.0498982029029	0.822992989413	0.567993840588	0.702177933416	0.658292981331	0.396956877236	0.643934990861	3.69207732281	113.695940497	273.384452557	339.920299063	160.847279421	71.8971930998	112.479260131	1.80369753881	0.726137866285	0.385704600988	0.137151383632	0.364444784532	0.149489337958	0.45675385909	0.148402370222	1.13141884863	0.0466155904318	0.710206921515	0.603025282478	0.213919205432	0.0548597366688	0.665673700754	0.01004472538	0.0227156267142	0.503599008854
DB_MAG_00103	2.6811247048	2.40965027615	1.40790323976	0.647161118627	1.95601638559	2.39679041684	2.31675512999	1.68477410722	1.39571239535	3.6672357866	0.837873419004	0.766048654478	2.24573402753	1.4552901773	1.27605327638	0.441605129255	0.0904888029698	1.72515052835	1.9775649968	1.89877656802	3.20681086717	1.91312303332	0.000761452923089	0.0223472081818	0.18164619875	0.000645799873795	0.00973722698599	0.00108224240288	0.0315065920128	0.039287003172	1.88681365297	1.69752591114	0.864514563209	1.21842555679	1.04618777581	0.413043046994	0.687323539405	0.125017991647	5.91930034126	2.96590050039	3.86175661787	3.97998991202	7.79717620839	3.9436963812	3.47474310461	0.00909564802641	1.417401563	1.07056102281	4.48354919792	2.32405309066	1.62548334744	0.014100808094	0.000509042253462	0.018507442527
DB_MAG_00104	34.3426617059	29.9915601802	33.9948636667	26.6775088618	21.9498316861	13.4880408897	9.48537721414	51.8790255045	4.52217493409	4.70859719475	14.7261827414	19.6426781639	22.0059241996	20.4917171586	15.0818568	0.000398559896678	0.0746212524299	0.000197627544124	0.166241778463	0.0195129108951	0.0	0.181560226498	0.0	0.214018072014	0.0475383473446	0.000795136908299	0.0265911495908	0.00171387365189	0.0488734899504	0.0166965531509	2.51857665867	2.96252677721	0.373431455299	0.23507565037	0.219601215376	0.365616244323	0.264582962919	0.147806896078	0.418595628267	0.14146893447	1.44441741846	2.93734215409	0.0893164135955	2.31213585142	0.15768695136	0.0062328686993	22.5616032815	0.666252023369	3.23351776368	30.9713479719	15.6110326403	0.049017579598	0.00178922328409	0.021830903528
DB_MAG_00105	3.2337300913	1.30557377273	0.394466832747	0.32992040495	1.48004863574	3.37530241237	1.19146028705	1.59903856233	7.29434425947	1.98217105689	0.270420711288	1.61895227287	21.4304251919	40.3211022437	4.17045140191	0.0882576771021	0.148032488919	0.480956866241	0.0623893803635	0.410488775596	0.0364192861233	0.0667155849705	0.0	0.040910107508	0.431969183739	0.00373282734803	0.0423072687579	0.0155931823678	0.0235859891822	0.0110713297743	0.0807893734004	0.424640898906	2.17543531677	0.175929167103	0.182383658511	0.177953764256	0.179637018113	0.0403523026103	47.0875772611	0.0285876902223	0.207757726487	0.0551481342864	0.150289820136	0.85976429148	0.801759015418	0.0124438931149	13.4107691918	26.4128437416	2.36580610566	1.20799462328	0.0483734916278	0.00101986716372	0.00484843714345	0.0121823984173
DB_MAG_00106	62.72559389	55.7645328398	33.755929487	13.05806506	19.8554823353	49.4756816751	20.8384908978	12.0162539606	14.4672084654	13.6739082926	16.1421186135	43.4153534365	59.3099597048	0.431625404241	0.457435462577	0.00143484705742	0.0447249931041	0.00162064870148	0.197297609216	0.0328860724888	0.0385223285284	0.199191640072	0.0	0.267222052609	0.0589400466387	0.000739932538452	0.0482560428506	0.000983029843673	0.0294499698379	0.00493070089782	0.0531441812573	0.270667158864	0.316240946262	0.342700082588	0.0988530227145	0.17491055738	0.00416703158546	0.00123267522446	0.231419630967	0.0887575272175	0.045346241773	0.104158600938	0.0479049022986	0.750603446088	2.12402055114	0.0014798650769	0.200752537584	0.0522380913015	0.0571172261042	0.122102783505	0.0868332115118	0.000492742686004	0.0	0.00319300534569
DB_MAG_00107	0.627433798707	0.799844048666	1.87354641881	1.87139008432	2.94182074143	0.333734895215	1.23254610239	1.28147919457	2.43372476414	1.88494843955	0.768942829528	1.73244887288	0.818722418629	2.99437509273	1.20105718488	0.155186462195	0.207926149745	1.83740440899	3.46757263765	0.960449435613	0.552031712665	0.211538766246	0.00196667692578	0.116223596186	2.92292652666	0.00972631213026	0.0762908357945	0.0167426817388	0.0751908219183	0.149949512676	6.46923154116	4.52136000319	3.80784855819	3.01140250089	2.49084049991	3.00469342455	0.118124973292	0.054594010374	2.99283718594	0.449202742016	1.33980249685	2.32497415616	0.573981574888	0.701542372141	0.202272913875	0.154946869474	7.66212816914	9.43656578645	0.511609203625	0.807722760012	2.53856314469	0.0128198910933	0.0110519945014	0.0267575614551
DB_MAG_00108	1.15554648055	0.751090547966	1.92928562147	1.5425346191	2.17383752228	0.817289129789	0.183249183249	0.118928200178	0.396266613454	0.223987878675	0.277574157262	0.707386490199	0.442776395901	0.779658728096	0.760783431096	0.12988472676	0.0953556578557	0.00901024651025	0.0427634021384	0.00773917805168	0.00339276433026	0.0676979692605	0.000112303237303	0.0370289760915	0.00609546703297	0.000119728244728	0.00111746361746	0.00256998069498	0.00639896421146	0.0197338134838	0.630156667657	0.266173058361	0.227966754529	1.61578927829	0.304061943124	1.31512474012	0.0755369208494	0.0135028400653	3.61553775616	0.0619923151173	1.6208851537	0.220434084497	0.0281296406296	0.103173726611	0.0181861634987	0.00306838431838	0.161715269528	1.68657187407	0.0386531964657	0.822439300564	0.0405465733591	0.000280294030294	0.0	0.00516177234927
DB_MAG_00109	35.2288017151	28.9346768659	52.2731197985	24.8544105692	16.6523617876	15.3214841381	14.35043511	14.5340575171	3.69695639572	5.23718657756	11.5124619362	7.43459607402	18.3030577637	0.00790510871086	0.454658275419	9.82828814542e-05	0.0503866348608	0.000750448103307	0.104444718378	0.0148515428747	0.0	0.0900104612965	0.0	0.0933437502082	0.013073289045	0.000249038826736	0.00572622720337	0.0	0.0149148437136	0.0082974073309	0.00147007869294	0.00436775788429	0.000248205920961	0.00336160770804	0.0110709835618	0.000652998127628	0.271568095045	0.190258167474	0.0808751507559	0.0549051486903	29.3166566163	1.90968802681	0.372712840742	44.3758903763	34.6543607615	0.0145117173184	43.5101264684	56.7219902117	2.92752303817	83.9661132285	5.64515215523	0.0144717378412	0.00175326665645	0.0325016491534
DB_MAG_00110	43.8636190824	44.4043391718	63.7605288626	227.287020783	87.7990890194	11.2913637322	35.655592968	84.5831076518	42.9638244955	17.0393506107	75.5074510767	59.7250168496	26.8013572022	79.9861184415	51.658476026	0.35077438244	1.5267077213	10.5518361088	2.97376077999	8.54674292797	1.21207981345	2.9826621296	0.0014546449131	2.98292969473	4.03596285147	0.0319399311046	0.70834247077	1.36830776775	0.721795225589	0.619114922544	42.5175954674	40.3452345602	15.5862792603	26.8825871764	19.9641878944	2.15464634711	3.79193890981	0.435102515917	27.8647666395	8.89595808776	14.9624667336	8.42120696705	0.932086724678	31.3012877752	1.8178794362	0.0490133842022	83.679364643	89.349013699	27.4332029784	16.1066623017	73.0527400593	0.329235564687	0.0467406545447	0.214711045403
DB_MAG_00111	3.04794130739	1.84185421386	2.06560600151	1.6430804492	2.76354933225	0.610401217109	1.36734022649	2.86952285996	2.8711828668	1.54540394217	2.75847675431	9.55030690323	2.66135903589	0.836022234448	1.17663876168	0.106691170709	0.118001689281	0.384394472039	2.26381538107	0.56135524749	0.0579977803436	0.283521074252	0.0	0.059927279991	0.0552404297765	0.00114297669877	0.0288869602502	0.00793927543457	0.0317984297093	0.0699385504731	3.9369503057	0.996650281848	2.25450840809	2.38303280149	1.6855858369	2.68296194124	0.0754954405777	0.0395211637957	4.09562689797	5.76116909942	15.5883144301	3.58355267293	0.448256519272	1.25262626341	0.163815036666	0.235141948665	0.714290695782	1.55276462601	0.29366579964	2.2412287839	1.3684737322	0.00395198722966	0.00227949590207	0.0110440392581
DB_MAG_00112	5.78803513574	3.7943998035	12.513073909	12.9341675146	7.72177690445	8.64277576991	5.81357942384	6.11802472601	6.98060095676	20.2272486754	13.4927578745	60.3708429536	10.3395801022	0.887739686773	0.73449314011	0.0515770143982	0.261536662105	8.24909365241	15.5209427231	17.2534133361	2.69320607741	1.8410409722	0.00197667754424	0.423109582792	0.19049136227	0.00599412844895	0.104835491304	0.0236822344644	0.892060774062	0.166611226125	4.02198767208	3.72182790039	6.87390528323	1.50647905774	1.3871190802	3.09610910324	0.307100833947	0.197774892686	22.6961619706	30.2307968701	44.8904457466	36.1350147958	19.6930951963	4.75617343299	16.7389559868	0.00525959975204	7.51965472473	17.7594764729	1.21209492731	22.2453789022	20.2905163924	0.051421219458	0.00219656830064	0.0539864556651
DB_MAG_00113	9.13641243973	7.75966088999	1.50820220547	5.94760058371	5.48683561463	3.23049195022	3.5898398436	2.79176382652	4.20175057979	2.82407223388	4.78029427857	8.07106519403	6.74512471961	7.0187057634	4.14421716406	0.0898806210524	0.156876384157	13.3462658547	8.77640220974	3.22763040271	5.10742125796	0.356076591924	0.00303930550068	0.136499933093	2.01487228741	0.183006018435	0.0652320395137	0.0125091749257	0.12302516404	0.0655554878131	2.29782224675	3.15461699683	12.0705034154	0.909352525391	9.89253123434	0.569712016203	0.145176027928	0.0304765893901	99.4828643663	2.74071085781	29.5931792394	5.93176388987	1.73580172817	5.77136401751	3.17998650781	0.0149098976763	0.774136883954	5.18632166043	0.654425382417	3.38021209024	0.950902369288	0.00735933957954	0.000584344785594	0.0189207357677
DB_MAG_00114	0.47257325191	0.261429130808	0.152610575601	0.618812140197	0.785631045313	0.0307920453883	0.0846228057752	0.243098532879	0.0894878822971	0.0807038181803	0.417769742816	3.95815381027	0.499986503487	1.81484716448	0.626033607985	0.00069981921337	0.0566506985695	8.01978155643	0.481641909173	9.75693912406	0.153027467904	4.99690646583	0.000192616907299	0.0324632803193	0.165390940674	0.00425056860311	0.0159222200931	0.0162338062667	0.0300668993843	0.0436303954812	0.248711749465	3.06431705143	4.71544584316	4.23267889129	2.8313409036	1.54299839208	0.0360233606318	0.0464190084228	1.17519907357	0.0563990969	0.163072206347	0.989838625022	0.0908675258891	0.144110771384	0.115900725646	0.00197882213761	2.29200789796	1.93926135748	0.0900287425748	0.197219384992	8.94357724255	0.045729519874	0.00136698019678	0.0162664644967
DB_MAG_00115	0.243792399569	0.671269703943	0.210496652861	0.524034317799	0.168976811076	0.0724210202018	0.230051343033	0.663004449675	0.438746771958	1.52877129224	1.21364431206	7.11137554419	0.999609191458	0.922015153917	1.85859210306	0.0816288606607	23.0514954438	11.6776811646	5.14475034914	3.54205715259	2.40094266769	10.3870157835	0.000843152109286	0.0715900935944	23.5093551578	1.7701393748	13.9410514828	29.2610303571	0.197959400739	0.0718623147684	0.266090899866	4.78260490397	3.02185430706	2.0937280323	1.8359826675	0.205590151462	0.200877628024	0.0517040923237	1.12281983645	0.372715614044	0.434950753641	0.267663914435	0.284755165988	1.26742062695	0.0731068708543	0.00254534948023	1.69350014895	8.20414183701	0.930252289531	1.23422594439	3.80532192395	0.0269776073633	0.000916505120244	0.0178272267631
DB_MAG_00116	20.0018891213	13.9536359268	9.25432905478	3.69564016422	16.3687272002	23.1303397848	17.1959396963	9.35690842859	6.81992047043	29.478349389	4.59394217703	3.79734555802	21.6684369917	15.9852033354	8.36856120496	0.0262721179899	0.954323870154	26.695214502	46.2810677892	10.9879982416	23.7024712373	34.2008903617	0.0283233133515	0.127147100072	109.522780773	1.07207328884	94.71169116	6.44710438572	0.298307763827	0.618134344583	10.5004162951	5.22899888334	4.62616485285	5.04007760385	3.39685140641	1.85539944067	13.890070219	2.57264730114	32.4869170943	34.0626808357	21.9120582665	40.7163599386	158.818007822	141.935514566	67.7947837422	0.165138653923	9.19732342532	2.64870491063	60.2188483418	27.8999441019	10.0463030776	0.162314556995	1.59313877766	0.298385315393
